Rank,Probability,Label,SOC code,Occupation,2010 SOC Code,2010 SOC Title,2018 SOC Code,2018 SOC Title
20,0.0044,,25-2021,"Elementary school teachers, except special education",25-2021,"Elementary School Teachers, Except Special Education",25-2021,"Elementary School Teachers, Except Special Education"
21,0.0045,,19-1042,"Medical scientists, except epidemiologists",19-1042,"Medical Scientists, Except Epidemiologists",19-1042,"Medical Scientists, Except Epidemiologists"
22,0.0046,,11-9032,"Education administrators, elementary and secondary school",11-9032,"Education Administrators, Elementary and Secondary School",11-9032,"Education Administrators, Kindergarten through Secondary"
23,0.0046,,29-1081,Podiatrists,29-1081,Podiatrists,29-1081,Podiatrists
24,0.0047,,19-3031,"Clinical, counseling, and school psychologists",19-3031,"Clinical, Counseling, and School Psychologists (#)",19-3033,Clinical and Counseling Psychologists
24,0.0047,,19-3031,"Clinical, counseling, and school psychologists",19-3031,"Clinical, Counseling, and School Psychologists (#)",19-3034,School Psychologists
25,0.0048,,21-1014,Mental health counselors,21-1014,Mental Health Counselors,21-1014,Mental Health Counselors
26,0.0049,,51-6092,Fabric and apparel patternmakers,51-6092,Fabric and Apparel Patternmakers,51-6092,Fabric and Apparel Patternmakers
27,0.0055,,27-1027,Set and exhibit designers,27-1027,Set and Exhibit Designers,27-1027,Set and Exhibit Designers
28,0.0055,,11-3121,Human resources managers,11-3121,Human Resources Managers,11-3121,Human Resources Managers
29,0.0061,,39-9032,Recreation workers,39-9032,Recreation Workers,39-9032,Recreation Workers
30,0.0063,,11-3131,Training and development managers,11-3131,Training and Development Managers,11-3131,Training and Development Managers
31,0.0064,,29-1127,Speech-language pathologists,29-1127,Speech-Language Pathologists,29-1127,Speech-Language Pathologists
32,0.0065,,15-1121,Computer systems analysts,15-1121,Computer Systems Analysts,15-1211,Computer Systems Analysts
33,0.0067,0.0,11-9151,Social and community service managers,11-9151,Social and Community Service Managers,11-9151,Social and Community Service Managers
34,0.0068,,25-4012,Curators,25-4012,Curators,25-4012,Curators
35,0.0071,,29-9091,Athletic trainers,29-9091,Athletic Trainers,29-9091,Athletic Trainers
36,0.0073,,11-9111,Medical and health services managers,11-9111,Medical and Health Services Managers,11-9111,Medical and Health Services Managers
37,0.0074,0.0,25-2011,"Preschool reachers, except special education",25-2011,"Preschool Teachers, Except Special Education",25-2011,"Preschool Teachers, Except Special Education"
38,0.0075,,25-9021,Farm and home management advisors,25-9021,Farm and Home Management Advisors,25-9021,Farm and Home Management Educators
39,0.0077,,19-3091,Anthropologists and archeologists,19-3091,Anthropologists and Archeologists,19-3091,Anthropologists and Archeologists
40,0.0077,,25-2054,"Special education teachers, secondary school",25-2054,"Special Education Teachers, Secondary School",25-2058,"Special Education Teachers, Secondary School"
41,0.0078,,25-2031,"Secondary school teachers, except special and career/technical education",25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",25-2031,"Secondary School Teachers, Except Special and Career/Technical Education"
42,0.0081,0.0,21-2011,Clergy,21-2011,Clergy,21-2011,Clergy
43,0.0081,,19-1032,Foresters,19-1032,Foresters,19-1032,Foresters
44,0.0085,,21-1012,"Educational, guidance, school, and vocational counselors",21-1012,"Educational, Guidance, School, and Vocational Counselors",21-1012,"Educational, Guidance, and Career Counselors and Advisors"
45,0.0088,,25-2032,"Career/technical education teachers, secondary school",25-2032,"Career/Technical Education Teachers, Secondary School",25-2032,"Career/Technical Education Teachers, Secondary School"
46,0.009,0.0,29-1111,Registered nurses,,,,
47,0.0094,,21-1015,Rehabilitation counselors,21-1015,Rehabilitation Counselors,21-1015,Rehabilitation Counselors
48,0.0095,,25-3999,"Teachers and Instructors, all other",,,,
49,0.0095,,19-4092,Forensic science technicians,19-4092,Forensic Science Technicians,19-4092,Forensic Science Technicians
50,0.01,,39-5091,"Makeup artists, theatrical and performance",39-5091,"Makeup Artists, Theatrical and Performance",39-5091,"Makeup Artists, Theatrical and Performance"
51,0.01,,17-2121,Marine engineers and naval architects,17-2121,Marine Engineers and Naval Architects,17-2121,Marine Engineers and Naval Architects
52,0.01,,11-9033,"Education administrators, postsecondary",11-9033,"Education Administrators, Postsecondary",11-9033,"Education Administrators, Postsecondary"
53,0.011,,17-2141,Mechanical engineers,17-2141,Mechanical Engineers,17-2141,Mechanical Engineers
54,0.012,,29-1051,Pharmacists,29-1051,Pharmacists,29-1051,Pharmacists
55,0.012,,13-1081,Logisticians,13-1081,Logisticians,13-1081,Logisticians
56,0.012,,19-1022,Microbiologists,19-1022,Microbiologists,19-1022,Microbiologists
57,0.012,,19-3032,Industrial-organizational psychologists,19-3032,Industrial-Organizational Psychologists,19-3032,Industrial-Organizational Psychologists
58,0.013,,27-2022,Coaches and scouts,27-2022,Coaches and Scouts,27-2022,Coaches and Scouts
59,0.013,,11-2022,Sales managers,11-2022,Sales Managers,11-2022,Sales Managers
60,0.014,,19-2043,Hydrologists,19-2043,Hydrologists,19-2043,Hydrologists
61,0.014,,11-2021,Marketing managers,11-2021,Marketing Managers,11-2021,Marketing Managers
62,0.014,0.0,21-1013,Marriage and family therapists,21-1013,Marriage and Family Therapists,21-1013,Marriage and Family Therapists
63,0.014,,17-2199,"Engineers, all other",17-2199,"Engineers, All Other",17-2199,"Engineers, All Other"
64,0.014,,13-1151,Training and development specialists,13-1151,Training and Development Specialists,13-1151,Training and Development Specialists
65,0.014,,43-1011,First-line supervisors of office and administrative support workers,43-1011,First-Line Supervisors of Office and Administrative Support Workers,43-1011,First-Line Supervisors of Office and Administrative Support Workers
66,0.015,,19-1029,"Biological scientists, all other",19-1029,"Biological Scientists, All Other",19-1029,"Biological Scientists, All Other"
67,0.015,,11-2031,Public relations and fundraising managers,11-2031,Public Relations and Fundraising Managers (#),11-2032,Public Relations Managers
67,0.015,,11-2031,Public relations and fundraising managers,11-2031,Public Relations and Fundraising Managers (#),11-2033,Fundraising Managers
68,0.015,,27-1014,Multimedia artists and animators,27-1014,Multimedia Artists and Animators,27-1014,Special Effects Artists and Animators
69,0.015,,15-1111,Computer and information research scientists,15-1111,Computer and Information Research Scientists,15-1221,Computer and Information Research Scientists
70,0.015,0.0,11-1011,Chief executives,11-1011,Chief Executives,11-1011,Chief Executives
71,0.015,0.0,11-9031,"Education administrators, preschool and childcare center/program",11-9031,"Education Administrators, Preschool and Childcare Center/Program",11-9031,"Education and Childcare Administrators, Preschool and Daycare"
72,0.015,,27-2041,Music directors and composers,27-2041,Music Directors and Composers,27-2041,Music Directors and Composers
73,0.016,,51-1011,First-line supervisors of production and operating workers,51-1011,First-Line Supervisors of Production and Operating Workers,51-1011,First-Line Supervisors of Production and Operating Workers
74,0.016,,41-3031,"Securities, commodities, and financial services sales agents",41-3031,"Securities, Commodities, and Financial Services Sales Agents",41-3031,"Securities, Commodities, and Financial Services Sales Agents"
75,0.016,,19-1031,Conservation scientists,19-1031,Conservation Scientists,19-1031,Conservation Scientists
76,0.016,,25-2053,"Special education teachers, middle school",25-2053,"Special Education Teachers, Middle School",25-2057,"Special Education Teachers, Middle School"
77,0.017,,17-2041,Chemical engineers,17-2041,Chemical Engineers,17-2041,Chemical Engineers
78,0.017,,11-9041,Architectural and engineering managers,11-9041,Architectural and Engineering Managers,11-9041,Architectural and Engineering Managers
79,0.017,,17-2011,Aerospace engineers,17-2011,Aerospace Engineers,17-2011,Aerospace Engineers
80,0.018,,11-9121,Natural sciences managers,11-9121,Natural Sciences Managers,11-9121,Natural Sciences Managers
81,0.018,,17-2081,Environmental engineers,17-2081,Environmental Engineers,17-2081,Environmental Engineers
82,0.018,,17-1011,"Architects, except landscape and naval",17-1011,"Architects, Except Landscape and Naval",17-1011,"Architects, Except Landscape and Naval"
83,0.018,,31-2021,Physical therapist assistants,31-2021,Physical Therapist Assistants,31-2021,Physical Therapist Assistants
84,0.019,0.0,17-2051,Civil engineers,17-2051,Civil Engineers,17-2051,Civil Engineers
85,0.02,,29-1199,"Health diagnosing and treating practitioners, all other",29-1199,"Health Diagnosing and Treating Practitioners, All Other (#)",29-1291,Acupuncturists
85,0.02,,29-1199,"Health diagnosing and treating practitioners, all other",29-1199,"Health Diagnosing and Treating Practitioners, All Other (#)",29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other"
86,0.021,,19-1013,Soil and plant scientists,19-1013,Soil and Plant Scientists,19-1013,Soil and Plant Scientists
87,0.021,,19-2032,Materials scientists,19-2032,Materials Scientists,19-2032,Materials Scientists
88,0.021,,17-2131,Materials engineers,17-2131,Materials Engineers,17-2131,Materials Engineers
89,0.021,0.0,27-1022,Fashion designers,27-1022,Fashion Designers,27-1022,Fashion Designers
90,0.021,,29-1123,Physical therapists,29-1123,Physical Therapists,29-1123,Physical Therapists
91,0.021,,27-4021,Photographers,27-4021,Photographers,27-4021,Photographers
92,0.022,,27-2012,Producers and directors,27-2012,Producers and Directors,27-2012,Producers and Directors
93,0.022,,27-1025,Interior designers,27-1025,Interior Designers,27-1025,Interior Designers
94,0.023,,29-1023,Orthodontists,29-1023,Orthodontists,29-1023,Orthodontists
95,0.023,,27-1011,Art directors,27-1011,Art Directors,27-1011,Art Directors
96,0.025,,33-1011,First-line supervisors of oorrectional officers,33-1011,First-Line Supervisors of Correctional Officers,33-1011,First-Line Supervisors of Correctional Officers
97,0.025,,21-2021,"Directors, religious activities and education",21-2021,"Directors, Religious Activities and Education",21-2021,"Directors, Religious Activities and Education"
98,0.025,,17-2072,"Electronics engineers, except computer",17-2072,"Electronics Engineers, Except Computer",17-2072,"Electronics Engineers, Except Computer"
99,0.027,,19-1021,Biochemists and biophysicists,19-1021,Biochemists and Biophysicists,19-1021,Biochemists and Biophysicists
100,0.027,,29-1011,Chiropractors,29-1011,Chiropractors,29-1011,Chiropractors
101,0.028,,31-2011,Occupational therapy assistants,31-2011,Occupational Therapy Assistants,31-2011,Occupational Therapy Assistants
102,0.028,,21-1021,"Child, family, and school social workers",21-1021,"Child, Family, and School Social Workers",21-1021,"Child, Family, and School Social Workers"
103,0.028,,17-2111,"Health and safety engineers, except mining safety engineers and inspectors",17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
104,0.029,,17-2112,Industrial engineers,17-2112,Industrial Engineers,17-2112,Industrial Engineers
105,0.029,,53-1031,First-line supervisors of transportation and material-moving machine and vehicle operators,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators (#),53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
105,0.029,,53-1031,First-line supervisors of transportation and material-moving machine and vehicle operators,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators (#),53-1044,First-line Supervisors of Passenger Attendants (##)
105,0.029,,53-1031,First-line supervisors of transportation and material-moving machine and vehicle operators,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators (#),53-1049,"First Line Supervisors of Transportation Workers, All Other"
106,0.029,,29-2056,Veterinary technologists and technicians,29-2056,Veterinary Technologists and Technicians,29-2056,Veterinary Technologists and Technicians
107,0.03,,11-3051,Industrial production managers,11-3051,Industrial Production Managers,11-3051,Industrial Production Managers
108,0.03,,17-3026,Industrial engineering technicians,17-3026,Industrial Engineering Technicians,17-3026,Industrial Engineering Technologists and Technicians
109,0.03,,15-1142,Network and computer systems administrators,15-1142,Network and Computer Systems Administrators,15-1244,Network and Computer Systems Administrators
110,0.03,,15-1141,Database administrators,15-1141,Database Administrators (#),15-1242,Database Administrators
110,0.03,,15-1141,Database administrators,15-1141,Database Administrators (#),15-1243,Database Architects (##)
111,0.03,,11-3061,Purchasing managers,11-3061,Purchasing Managers,11-3061,Purchasing Managers
112,0.032,,25-1000,Postsecondary teachers,,,,
113,0.033,,19-2041,"Environmental scientists and specialists, including health",19-2041,"Environmental Scientists and Specialists, Including Health",19-2041,"Environmental Scientists and Specialists, Including Health"
114,0.033,0.0,21-1011,Substance abuse and behavioural disorder counselors,21-1011,Substance Abuse and Behavioral Disorder Counselors,21-1011,Substance Abuse and Behavioral Disorder Counselors
115,0.035,0.0,23-1011,Lawyers,23-1011,Lawyers,23-1011,Lawyers
116,0.035,,27-1012,Craft artists,27-1012,Craft Artists,27-1012,Craft Artists
117,0.035,,15-2031,Operations research analysts,15-2031,Operations Research Analysts,15-2031,Operations Research Analysts
118,0.035,,11-3021,Computer and information systems managers,11-3021,Computer and Information Systems Managers,11-3021,Computer and Information Systems Managers
119,0.037,,27-1021,Commercial and industrial designers,27-1021,Commercial and Industrial Designers,27-1021,Commercial and Industrial Designers
120,0.037,,17-2031,Biomedical engineers,17-2031,Biomedical Engineers,17-2031,Bioengineers and Biomedical Engineers
121,0.037,0.0,13-1121,"Meeting, convention, and event planners",13-1121,"Meeting, Convention, and Event Planners",13-1121,"Meeting, Convention, and Event Planners"
122,0.038,,29-1131,Veterinarians,29-1131,Veterinarians,29-1131,Veterinarians
123,0.038,,27-3043,Writers and authors,27-3043,Writers and Authors,27-3043,Writers and Authors
124,0.039,,11-2011,Advertising and promotions managers,11-2011,Advertising and Promotions Managers,11-2011,Advertising and Promotions Managers
125,0.039,,19-3094,Political scientists,19-3094,Political Scientists,19-3094,Political Scientists
126,0.04,,13-2071,Credit counselors,13-2071,Credit Counselors,13-2071,Credit Counselors
127,0.04,,19-3099,"Social scientists and related workers, all other",19-3099,"Social Scientists and Related Workers, All Other",19-3099,"Social Scientists and Related Workers, All Other"
128,0.041,,19-2011,Astronomers,19-2011,Astronomers,19-2011,Astronomers
129,0.041,,53-5031,Ship engineers,53-5031,Ship Engineers,53-5031,Ship Engineers
130,0.042,,15-1132,"Software developers, applications",15-1132,"Software Developers, Applications (#)",15-1252,Software Developers (##)
130,0.042,,15-1132,"Software developers, applications",15-1132,"Software Developers, Applications (#)",15-1253,Software Quality Assurance Analysts and Testers (##)
131,0.042,,27-1013,"Fine artists, including painters, sculptors, and illustrators",27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators"
132,0.043,,29-2053,Psychiatric technicians,29-2053,Psychiatric Technicians,29-2053,Psychiatric Technicians
133,0.045,0.0,17-1012,Landscape architects,17-1012,Landscape Architects,17-1012,Landscape Architects
134,0.045,,21-1091,Health educators,21-1091,Health Educators,21-1091,Health Education Specialists
135,0.047,,15-2021,Mathematicians,15-2021,Mathematicians,15-2021,Mathematicians
136,0.047,,27-1023,Floral designers,27-1023,Floral Designers,27-1023,Floral Designers
137,0.047,,11-9013,"Farmers, ranchers, and other agricultural managers",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
138,0.048,,33-2022,Forest fire inspectors and prevention specialists,33-2022,Forest Fire Inspectors and Prevention Specialists,33-2022,Forest Fire Inspectors and Prevention Specialists
139,0.049,,29-2041,Emergency medical technicians and paramedics,29-2041,Emergency Medical Technicians and Paramedics (#),29-2042,Emergency Medical Technicians
139,0.049,,29-2041,Emergency medical technicians and paramedics,29-2041,Emergency Medical Technicians and Paramedics (#),29-2043,Paramedics
140,0.055,,27-3041,Editors,27-3041,Editors,27-3041,Editors
141,0.055,,29-1024,Prosthodontists,29-1024,Prosthodontists,29-1024,Prosthodontists
142,0.055,0.0,29-9799,"Healthcare practitioners and technical workers, all other",,,,
143,0.057,,39-7012,Travel guides,39-7012,Travel Guides,39-7012,Travel Guides
144,0.058,,29-2061,Licensed practical and licensed vocational nurses,29-2061,Licensed Practical and Licensed Vocational Nurses,29-2061,Licensed Practical and Licensed Vocational Nurses
145,0.059,,19-3041,Sociologists,19-3041,Sociologists,19-3041,Sociologists
146,0.06,,23-1022,"Arbitrators, mediators, and conciliators",23-1022,"Arbitrators, Mediators, and Conciliators",23-1022,"Arbitrators, Mediators, and Conciliators"
147,0.061,,19-1011,Animal scientists,19-1011,Animal Scientists,19-1011,Animal Scientists
148,0.064,,39-9041,Residential advisors,39-9041,Residential Advisors,39-9041,Residential Advisors
149,0.066,,53-1011,Aircraft cargo handling supervisors,53-1011,Aircraft Cargo Handling Supervisors,53-1041,Aircraft Cargo Handling Supervisors
150,0.066,,29-1126,Respiratory therapists,29-1126,Respiratory Therapists,29-1126,Respiratory Therapists
151,0.067,,27-3021,Broadcast news analysts,27-3021,Broadcast News Analysts,27-3023,"News Analysts, Reporters, and Journalists (##)"
152,0.069,,11-3031,Financial managers,11-3031,Financial Managers,11-3031,Financial Managers
153,0.07,,17-2161,Nuclear engineers,17-2161,Nuclear Engineers,17-2161,Nuclear Engineers
154,0.071,,11-9021,Construction managers,11-9021,Construction Managers,11-9021,Construction Managers
155,0.074,,27-2042,Musicians and singers,27-2042,Musicians and Singers,27-2042,Musicians and Singers
156,0.075,,41-1012,First-line supervisors of non-retail sales workers,41-1012,First-Line Supervisors of Non-Retail Sales Workers,41-1012,First-Line Supervisors of Non-Retail Sales Workers
157,0.076,,39-1021,First-line supervisors of personal service workers,39-1021,First-Line Supervisors of Personal Service Workers (#),39-1014,"First-line Supervisors of Entertainment and Recreation Workers, Except Gambling Services"
157,0.076,,39-1021,First-line supervisors of personal service workers,39-1021,First-Line Supervisors of Personal Service Workers (#),39-1022,First-Line Supervisors of Personal Service Workers
157,0.076,,39-1021,First-line supervisors of personal service workers,39-1021,First-Line Supervisors of Personal Service Workers (#),53-1044,First-line Supervisors of Passenger Attendants (##)
158,0.077,,19-1012,Food scientists and technologists,19-1012,Food Scientists and Technologists,19-1012,Food Scientists and Technologists
159,0.08,0.0,13-1041,Compliance officers,13-1041,Compliance Officers,13-1041,Compliance Officers
160,0.08,,33-3031,Fish and game wardens,33-3031,Fish and Game Wardens,33-3031,Fish and Game Wardens
161,0.082,,27-1024,Graphic designers,27-1024,Graphic Designers,27-1024,Graphic Designers
162,0.083,,11-9051,Food service managers,11-9051,Food Service Managers,11-9051,Food Service Managers
163,0.084,0.0,39-9011,Childcare workers,39-9011,Childcare Workers,39-9011,Childcare Workers
164,0.085,,39-9031,Fitness trainers and aerobics instructors,39-9031,Fitness Trainers and Aerobics Instructors,39-9031,Exercise Trainers and Group Fitness Instructors
165,0.091,,11-9071,Gaming managers,11-9071,Gaming Managers,11-9071,Gambling Managers
166,0.097,,49-9051,Electrical power-line installers and repairers,49-9051,Electrical Power-Line Installers and Repairers,49-9051,Electrical Power-Line Installers and Repairers
167,0.098,,33-3051,Police and sheriff’s patrol officers,33-3051,Police and Sheriff's Patrol Officers,33-3051,Police and Sheriff's Patrol Officers
168,0.099,,41-3041,Travel agents,41-3041,Travel Agents,41-3041,Travel Agents
169,0.1,0.0,35-1011,Chefs and head cooks,35-1011,Chefs and Head Cooks,35-1011,Chefs and Head Cooks
170,0.1,,39-2011,Animal trainers,39-2011,Animal Trainers,39-2011,Animal Trainers
171,0.1,,27-3011,Radio and television announcers,27-3011,Radio and Television Announcers,27-3011,Broadcast Announcers and Radio Disc Jockeys
172,0.1,0.0,17-2071,Electrical engineers,17-2071,Electrical Engineers,17-2071,Electrical Engineers
173,0.1,,19-2031,Chemists,19-2031,Chemists,19-2031,Chemists
174,0.1,,29-2054,Respiratory therapy technicians,29-2054,Respiratory Therapy Technicians,29-2099,"Health Technologists and Technicians, All Other (##)"
175,0.1,0.0,19-2012,Physicists,19-2012,Physicists,19-2012,Physicists
176,0.11,0.0,39-5012,"Hairdressers, hairstylists, and cosmetologists",39-5012,"Hairdressers, Hairstylists, and Cosmetologists",39-5012,"Hairdressers, Hairstylists, and Cosmetologists"
177,0.11,,27-3022,Reporters and correspondents,27-3022,Reporters and Correspondents,27-3023,"News Analysts, Reporters, and Journalists (##)"
178,0.11,,53-2021,Air traffic controllers,53-2021,Air Traffic Controllers,53-2021,Air Traffic Controllers
179,0.13,,27-2031,Dancers,27-2031,Dancers,27-2031,Dancers
180,0.13,,29-2033,Nuclear medicine technologists,29-2033,Nuclear Medicine Technologists,29-2033,Nuclear Medicine Technologists
181,0.13,,15-1133,"Software developers, systems software",15-1133,"Software Developers, Systems Software (#)",15-1252,Software Developers (##)
181,0.13,,15-1133,"Software developers, systems software",15-1133,"Software Developers, Systems Software (#)",15-1253,Software Quality Assurance Analysts and Testers (##)
182,0.13,,13-1111,Management analysts,13-1111,Management Analysts,13-1111,Management Analysts
183,0.13,,29-2051,Dietetic technicians,29-2051,Dietetic Technicians,29-2051,Dietetic Technicians
184,0.13,,19-3051,Urban and regional planners,19-3051,Urban and Regional Planners,19-3051,Urban and Regional Planners
185,0.13,,21-1093,Social and human service assistants,21-1093,Social and Human Service Assistants,21-1093,Social and Human Service Assistants
186,0.13,,25-3021,Self-enrichment education teachers,25-3021,Self-Enrichment Education Teachers,25-3021,Self-Enrichment Teachers
187,0.13,,27-4014,Sound engineering technicians,27-4014,Sound Engineering Technicians,27-4014,Sound Engineering Technicians
188,0.14,,29-1041,Optometrists,29-1041,Optometrists,29-1041,Optometrists
189,0.14,,17-2151,"Mining and geological engineers, including mining safety engineers",17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers"
190,0.14,,29-1071,Physician assistants,29-1071,Physician Assistants,29-1071,Physician Assistants
191,0.15,,25-2012,"Kindergarten teachers, except special education",25-2012,"Kindergarten Teachers, Except Special Education",25-2012,"Kindergarten Teachers, Except Special Education"
192,0.15,,47-2111,Electricians,47-2111,Electricians,47-2111,Electricians
193,0.16,,17-2171,Petroleum engineers,17-2171,Petroleum Engineers,17-2171,Petroleum Engineers
194,0.16,,43-9031,Desktop publishers,43-9031,Desktop Publishers,43-9031,Desktop Publishers
195,0.16,,11-1021,General and operations managers,11-1021,General and Operations Managers,11-1021,General and Operations Managers
196,0.17,,29-9011,Occupational health and safety specialists,29-9011,Occupational Health and Safety Specialists,19-5011,Occupational Health and Safety Specialists
197,0.17,,33-2011,Firefighters,33-2011,Firefighters,33-2011,Firefighters
198,0.17,,13-2061,Financial examiners,13-2061,Financial Examiners,13-2061,Financial Examiners
199,0.17,,47-1011,First-line supervisors of construction trades and extraction workers,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers
200,0.17,,25-2022,"Middle school teachers, except special and career/technical education",25-2022,"Middle School Teachers, Except Special and Career/Technical Education",25-2022,"Middle School Teachers, Except Special and Career/Technical Education"
201,0.18,,27-3031,Public relations specialists,27-3031,Public Relations Specialists,27-3031,Public Relations Specialists
202,0.18,,49-9092,Commercial divers,49-9092,Commercial Divers,49-9092,Commercial Divers
203,0.18,,49-9095,Manufactured building and mobile home installers,49-9095,Manufactured Building and Mobile Home Installers,49-9095,Manufactured Building and Mobile Home Installers
204,0.18,,53-2011,"Airline pilots, copilots, and flight engineers",53-2011,"Airline Pilots, Copilots, and Flight Engineers",53-2011,"Airline Pilots, Copilots, and Flight Engineers"
205,0.19,,25-3011,Adult basic and secondary education and literacy teachers and instructors,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
206,0.2,,19-1041,Epidemiologists,19-1041,Epidemiologists,19-1041,Epidemiologists
207,0.2,,39-4831,"Funeral service managers, directors, morticians, and undertakers",,,,
208,0.21,,15-1179,"Information security analysts, web developers, and computer network architects",,,,
209,0.21,,15-2011,Actuaries,15-2011,Actuaries,15-2011,Actuaries
210,0.21,,33-9011,Animal control workers,33-9011,Animal Control Workers,33-9011,Animal Control Workers
211,0.21,0.0,39-6012,Concierges,39-6012,Concierges,39-6012,Concierges
212,0.22,,15-1799,"Computer occupations, all other",,,,
213,0.22,,15-2041,Statisticians,15-2041,Statisticians,15-2041,Statisticians
214,0.22,,17-2061,Computer hardware engineers,17-2061,Computer Hardware Engineers,17-2061,Computer Hardware Engineers
215,0.23,,19-3022,Survey researchers,19-3022,Survey Researchers,19-3022,Survey Researchers
216,0.23,,13-1199,"Business operations specialists, all other",13-1199,"Business Operations Specialists, All Other (#)",13-1082,Project Management Specialists (##)
216,0.23,,13-1199,"Business operations specialists, all other",13-1199,"Business Operations Specialists, All Other (#)",13-1199,"Business Operations Specialists, All Other"
217,0.23,,13-2051,Financial analysts,13-2051,Financial Analysts (#),13-2051,Financial and Investment Analysts
217,0.23,,13-2051,Financial analysts,13-2051,Financial Analysts (#),13-2054,Financial Risk Specialists (##)
218,0.23,,29-2037,Radiologic technologists and technicians,,,,
219,0.23,,29-2031,Cardiovascular technologists and technicians,29-2031,Cardiovascular Technologists and Technicians,29-2031,Cardiovascular Technologists and Technicians
220,0.24,,13-1011,"Agents and business managers of artists, performers, and athletes",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes"
221,0.24,,17-3029,"Engineering technicians, except drafters, all other",17-3029,"Engineering Technicians, Except Drafters, All Other (#)",17-3028,Calibration Technologists and Technicians
221,0.24,,17-3029,"Engineering technicians, except drafters, all other",17-3029,"Engineering Technicians, Except Drafters, All Other (#)",17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other (##)"
222,0.25,,19-3092,Geographers,19-3092,Geographers,19-3092,Geographers
223,0.25,,29-9012,Occupational health and safety technicians,29-9012,Occupational Health and Safety Technicians,19-5012,Occupational Health and Safety Technicians
224,0.25,,21-1092,Probation officers and correctional treatment specialists,21-1092,Probation Officers and Correctional Treatment Specialists,21-1092,Probation Officers and Correctional Treatment Specialists
225,0.25,,17-3025,Environmental engineering technicians,17-3025,Environmental Engineering Technicians,17-3025,Environmental Engineering Technologists and Technicians
