2018 SOC Code,2018 SOC Title,2018 Census Code,2018 Census Title ,occ2018,total_lf,native,foreign
43-4021,Correspondence Clerks,5210,Correspondence clerks,,,,
43-4031,"Court, Municipal, and License Clerks",5220,"Court, municipal, and license clerks",5220,63365.4821,58224.5423,5140.9398
43-4041,"Credit Authorizers, Checkers, and Clerks",5230,"Credit authorizers, checkers, and clerks",5230,22337.850400000003,22337.850400000003,0.0
43-4051,Customer Service Representatives,5240,Customer service representatives,5240,2864955.3984999997,2483342.2345,381613.164
43-4061,"Eligibility Interviewers, Government Programs",5250,"Eligibility interviewers, government programs",5250,89656.4941,81545.7316,8110.7625
43-4071,File Clerks,5260,File clerks,5260,139338.2648,116201.2573,23137.0075
43-4081,"Hotel, Motel, and Resort Desk Clerks",5300,"Hotel, motel, and resort desk clerks",5300,147024.92200000002,134621.7563,12403.1657
43-4111,"Interviewers, Except Eligibility and Loan",5310,"Interviewers, except eligibility and loan",5310,165717.2844,158373.054,7344.2304
43-4121,"Library Assistants, Clerical",5320,"Library assistants, clerical",5320,70838.09580000001,49724.9198,21113.176
43-4131,Loan Interviewers and Clerks,5330,Loan interviewers and clerks,5330,88292.9413,68297.6438,19995.2975
43-4141,New Accounts Clerks,5340,New accounts clerks,5340,6451.3915,4623.1797,1828.2118
43-4151,Order Clerks,5350,Order clerks,5350,77486.2026,67491.4226,9994.779999999999
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",5360,"Human resources assistants, except payroll and timekeeping",5360,84378.29980000001,77667.5929,6710.7069
43-4171,Receptionists and Information Clerks,5400,Receptionists and information clerks,5400,1312472.5186,1149901.6553,162570.8633
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,5410,Reservation and transportation ticket agents and travel clerks,5410,109783.93400000001,94239.7032,15544.230800000001
43-4199,"Information and Record Clerks, All Other",5420,"Information and record clerks, all other",5420,75627.9756,65592.1679,10035.8077
43-5011,Cargo and Freight Agents,5500,Cargo and freight agents,5500,15516.7479,15516.7479,0.0
43-5021,Couriers and Messengers,5510,Couriers and messengers,5510,915729.6932999999,717150.2002,198579.4931
43-5031,Public Safety Telecommunicators,5521,Public safety telecommunicators,5521,94040.5584,88448.2298,5592.3286
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",5522,"Dispatchers, except police, fire, and ambulance",5522,169898.7182,146544.1868,23354.5314
43-5041,"Meter Readers, Utilities",5530,"Meter readers, utilities",5530,37000.9556,37000.9556,0.0
43-5051,Postal Service Clerks,5540,Postal service clerks,5540,87170.5149,67746.8948,19423.6201
43-5052,Postal Service Mail Carriers,5550,Postal service mail carriers,5550,426293.4175,383940.0255,42353.392
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",5560,"Postal service mail sorters, processors, and processing machine operators",5560,48252.5472,42275.6579,5976.8893
43-5061,"Production, Planning, and Expediting Clerks",5600,"Production, planning, and expediting clerks",5600,233239.3306,205678.9345,27560.396099999998
43-5071,"Shipping, Receiving, and Inventory Clerks",5610,"Shipping, receiving, and inventory clerks",5610,640262.8145,503344.5024,136918.3121
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",5630,"Weighers, measurers, checkers, and samplers, recordkeeping",5630,99086.3014,73847.8974,25238.404
43-6011,Executive Secretaries and Executive Administrative Assistants,5710,Executive secretaries and executive administrative assistants,5710,259915.3075,253520.6803,6394.6272
43-6012,Legal Secretaries and Administrative Assistants,5720,Legal secretaries and administrative assistants,5720,53431.570199999995,38789.018299999996,14642.5519
43-6013,Medical Secretaries and Administrative Assistants,5730,Medical secretaries and administrative assistants,5730,84663.7638,75024.0491,9639.7147
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",5740,"Secretaries and administrative assistants, except legal, medical, and executive",5740,1512076.0025999998,1396722.1713999999,115353.8312
43-9021,Data Entry Keyers,5810,Data entry keyers,5810,316672.6809,285096.4669,31576.214
43-9022,Word Processors and Typists,5820,Word processors and typists,5820,74539.4617,46501.4136,28038.0481
43-9031,Desktop Publishers,5830,Desktop publishers,,,,
43-9041,Insurance Claims and Policy Processing Clerks,5840,Insurance claims and policy processing clerks,5840,296515.69470000005,284213.20290000003,12302.4918
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",5850,"Mail clerks and mail machine operators, except postal service",5850,44830.822700000004,33854.2689,10976.5538
43-9061,"Office Clerks, General",5860,"Office clerks, general",5860,1368449.0508,1214829.7378,153619.313
43-9071,"Office Machine Operators, Except Computer",5900,"Office machine operators, except computer",5900,30010.055,18279.8189,11730.2361
43-9081,Proofreaders and Copy Markers,5910,Proofreaders and copy markers,5910,18221.9113,12795.6631,5426.2482
43-9111,Statistical Assistants,5920,Statistical assistants,5920,37248.2917,29391.6976,7856.5941
43-9199,"Office and Administrative Support Workers, All Other",5940,"Office and administrative support workers, all other",5940,856955.307,753468.7864,103486.52059999999
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",6005,"First-line supervisors of farming, fishing, and forestry workers",6005,44453.7221,28323.2243,16130.497800000001
45-2011,Agricultural Inspectors,6010,Agricultural inspectors,6010,20725.0822,20725.0822,0.0
45-2021,Animal Breeders,6020,Animal breeders,,,,
45-2041,"Graders and Sorters, Agricultural Products",6040,"Graders and sorters, agricultural products",6040,34299.611899999996,13781.1677,20518.444199999998
45-2091,Agricultural Equipment Operators,6050,Miscellaneous agricultural workers,6050,881377.3282999999,441286.01529999997,440091.31299999997
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",6050,Miscellaneous agricultural workers,6050,881377.3282999999,441286.01529999997,440091.31299999997
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",6050,Miscellaneous agricultural workers,6050,881377.3282999999,441286.01529999997,440091.31299999997
45-2099,"Agricultural Workers, All Other",6050,Miscellaneous agricultural workers,6050,881377.3282999999,441286.01529999997,440091.31299999997
45-3031,Fishing and Hunting Workers,6115,Fishing and hunting workers,6115,30437.815,24287.851599999998,6149.9634
45-4011,Forest and Conservation Workers,6120,Forest and conservation workers,6120,24286.6028,24286.6028,0.0
45-4021,Fallers,6130,Logging workers,6130,41091.031800000004,38381.6903,2709.3415
45-4022,Logging Equipment Operators,6130,Logging workers,6130,41091.031800000004,38381.6903,2709.3415
45-4023,Log Graders and Scalers,6130,Logging workers,6130,41091.031800000004,38381.6903,2709.3415
45-4029,"Logging Workers, All Other",6130,Logging workers,6130,41091.031800000004,38381.6903,2709.3415
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,6200,First-line supervisors of construction trades and extraction workers,6200,845673.5107999999,661813.8474,183859.6634
47-2011,Boilermakers,6210,Boilermakers,6210,8170.9929999999995,8170.9929999999995,0.0
47-2021,Brickmasons and Blockmasons,6220,"Brickmasons, blockmasons, and stonemasons",6220,133367.5361,83112.0856,50255.4505
47-2022,Stonemasons,6220,"Brickmasons, blockmasons, and stonemasons",6220,133367.5361,83112.0856,50255.4505
47-2031,Carpenters,6230,Carpenters,6230,1206902.7152,768451.0455,438451.6697
47-2041,Carpet Installers,6240,"Carpet, floor, and tile installers and finishers",6240,78201.0588,47142.0565,31059.0023
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",6240,"Carpet, floor, and tile installers and finishers",6240,78201.0588,47142.0565,31059.0023
47-2043,Floor Sanders and Finishers,6240,"Carpet, floor, and tile installers and finishers",6240,78201.0588,47142.0565,31059.0023
47-2044,Tile and Stone Setters,6240,"Carpet, floor, and tile installers and finishers",6240,78201.0588,47142.0565,31059.0023
47-2051,Cement Masons and Concrete Finishers,6250,"Cement masons, concrete finishers, and terrazzo workers",6250,63628.7819,32713.157600000002,30915.6243
47-2053,Terrazzo Workers and Finishers,6250,"Cement masons, concrete finishers, and terrazzo workers",6250,63628.7819,32713.157600000002,30915.6243
47-2061,Construction Laborers,6260,Construction laborers,6260,2582631.3793,1355038.3129,1227593.0664000001
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",6305,Construction equipment operators,6305,443375.53319999995,417232.4565,26143.0767
47-2072,Pile Driver Operators,6305,Construction equipment operators,6305,443375.53319999995,417232.4565,26143.0767
47-2073,Operating Engineers and Other Construction Equipment Operators,6305,Construction equipment operators,6305,443375.53319999995,417232.4565,26143.0767
47-2081,Drywall and Ceiling Tile Installers,6330,"Drywall installers, ceiling tile installers, and tapers",6330,132869.9246,57570.1033,75299.8213
47-2082,Tapers,6330,"Drywall installers, ceiling tile installers, and tapers",6330,132869.9246,57570.1033,75299.8213
47-2111,Electricians,6355,Electricians,6355,1088687.4471,913704.3862,174983.0609
47-2121,Glaziers,6360,Glaziers,6360,19377.4283,7484.0205000000005,11893.4078
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",6400,Insulation workers,6400,21814.669400000002,3123.3093,18691.3601
47-2132,"Insulation Workers, Mechanical",6400,Insulation workers,6400,21814.669400000002,3123.3093,18691.3601
47-2141,"Painters, Construction and Maintenance",6410,Painters and paperhangers,6410,626009.5275,291102.7657,334906.7618
47-2142,Paperhangers,6410,Painters and paperhangers,6410,626009.5275,291102.7657,334906.7618
47-2151,Pipelayers,6441,Pipelayers,6441,74976.0154,38166.9897,36809.0257
47-2152,"Plumbers, Pipefitters, and Steamfitters",6442,"Plumbers, pipefitters, and steamfitters",6442,682556.9533,581905.6877,100651.2656
47-2161,Plasterers and Stucco Masons,6460,Plasterers and stucco masons,6460,22298.850899999998,7564.8662,14733.984699999999
47-2171,Reinforcing Iron and Rebar Workers,6500,Reinforcing iron and rebar workers,,,,
47-2181,Roofers,6515,Roofers,6515,335957.9901,159900.177,176057.8131
47-2211,Sheet Metal Workers,6520,Sheet metal workers,6520,143033.1468,130304.8197,12728.327099999999
47-2221,Structural Iron and Steel Workers,6530,Structural iron and steel workers,6530,74160.865,68373.8128,5787.0522
47-2231,Solar Photovoltaic Installers,6540,Solar photovoltaic installers,6540,18597.1531,18597.1531,0.0
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",6600,"Helpers, construction trades",6600,29549.726899999998,20346.8782,9202.848699999999
47-3012,Helpers--Carpenters,6600,"Helpers, construction trades",6600,29549.726899999998,20346.8782,9202.848699999999
47-3013,Helpers--Electricians,6600,"Helpers, construction trades",6600,29549.726899999998,20346.8782,9202.848699999999
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",6600,"Helpers, construction trades",6600,29549.726899999998,20346.8782,9202.848699999999
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",6600,"Helpers, construction trades",6600,29549.726899999998,20346.8782,9202.848699999999
47-3016,Helpers--Roofers,6600,"Helpers, construction trades",6600,29549.726899999998,20346.8782,9202.848699999999
47-3019,"Helpers, Construction Trades, All Other",6600,"Helpers, construction trades",6600,29549.726899999998,20346.8782,9202.848699999999
47-4011,Construction and Building Inspectors,6660,Construction and building inspectors,6660,128813.31219999999,111873.15,16940.1622
47-4021,Elevator and Escalator Installers and Repairers,6700,Elevator and escalator installers and repairers,6700,52529.4229,47658.0634,4871.3595
47-4031,Fence Erectors,6710,Fence erectors,6710,36937.6356,24344.0624,12593.5732
47-4041,Hazardous Materials Removal Workers,6720,Hazardous materials removal workers,6720,12220.8165,2248.0569,9972.759600000001
47-4051,Highway Maintenance Workers,6730,Highway maintenance workers,6730,86832.1301,71588.9098,15243.2203
47-4061,Rail-Track Laying and Maintenance Equipment Operators,6740,Rail-track laying and maintenance equipment operators,6740,12678.7513,5466.4652,7212.286099999999
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,6750,Septic tank servicers and sewer pipe cleaners,,,,
47-4091,Segmental Pavers,6765,Miscellaneous construction and related workers,6765,41276.6566,35111.7083,6164.9483
47-4099,"Construction and Related Workers, All Other",6765,Miscellaneous construction and related workers,6765,41276.6566,35111.7083,6164.9483
47-5011,"Derrick Operators, Oil and Gas",6950,Other extraction workers,6950,57488.5873,46877.4362,10611.1511
47-5012,"Rotary Drill Operators, Oil and Gas",6950,Other extraction workers,6950,57488.5873,46877.4362,10611.1511
47-5013,"Service Unit Operators, Oil and Gas",6950,Other extraction workers,6950,57488.5873,46877.4362,10611.1511
47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",6821,"Excavating and loading machine and dragline operators, surface mining",,,,
47-5023,"Earth Drillers, Except Oil and Gas",6825,"Earth drillers, except oil and gas",6825,33909.860499999995,19680.0452,14229.815299999998
47-5032,"Explosives Workers, Ordnance Handling Experts, and Blasters",6835,"Explosives workers, ordnance handling experts, and blasters",6835,13083.196800000002,13083.196800000002,0.0
47-5041,Continuous Mining Machine Operators,6950,Other extraction workers,6950,57488.5873,46877.4362,10611.1511
47-5043,"Roof Bolters, Mining",6950,Other extraction workers,6950,57488.5873,46877.4362,10611.1511
47-5044,"Loading and Moving Machine Operators, Underground Mining",6950,Other extraction workers,6950,57488.5873,46877.4362,10611.1511
47-5049,"Underground Mining Machine Operators, All Other",6950,Other extraction workers,6950,57488.5873,46877.4362,10611.1511
47-5051,"Rock Splitters, Quarry",6950,Other extraction workers,6950,57488.5873,46877.4362,10611.1511
47-5071,"Roustabouts, Oil and Gas",6920,"Roustabouts, oil and gas",,,,
47-5081,Helpers--Extraction Workers,6950,Other extraction workers,6950,57488.5873,46877.4362,10611.1511
47-5099,"Extraction Workers, All Other",6950,Other extraction workers,6950,57488.5873,46877.4362,10611.1511
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7000,"First-line supervisors of mechanics, installers, and repairers",7000,286065.0262,269255.112,16809.9142
49-2011,"Computer, Automated Teller, and Office Machine Repairers",7010,"Computer, automated teller, and office machine repairers",7010,126899.0287,109317.745,17581.2837
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",7020,Radio and telecommunications equipment installers and repairers,7020,126527.0306,94625.6385,31901.3921
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",7020,Radio and telecommunications equipment installers and repairers,7020,126527.0306,94625.6385,31901.3921
49-2091,Avionics Technicians,7030,Avionics technicians,7030,23433.083899999998,12695.6468,10737.4371
49-2092,"Electric Motor, Power Tool, and Related Repairers",7040,"Electric motor, power tool, and related repairers",7040,14832.6355,14832.6355,0.0
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",7050,"Electrical and electronics installers and repairers, transportation equipment",,,,
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",7100,"Electrical and electronics repairers, industrial and utility ",7100,20013.7725,20013.7725,0.0
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",7100,"Electrical and electronics repairers, industrial and utility ",7100,20013.7725,20013.7725,0.0
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",7110,"Electronic equipment installers and repairers, motor vehicles",,,,
49-2097,Audiovisual Equipment Installers and Repairers,7120,Audiovisual equipment installers and repairers ,7120,38012.7501,27757.3605,10255.3896
49-2098,Security and Fire Alarm Systems Installers,7130,Security and fire alarm systems installers,7130,50840.5883,50169.203,671.3853
49-3011,Aircraft Mechanics and Service Technicians,7140,Aircraft mechanics and service technicians,7140,179913.0429,153832.4969,26080.546000000002
49-3021,Automotive Body and Related Repairers,7150,Automotive body and related repairers,7150,127089.9733,68379.3176,58710.6557
49-3022,Automotive Glass Installers and Repairers,7160,Automotive glass installers and repairers,7160,30165.4208,30165.4208,0.0
49-3023,Automotive Service Technicians and Mechanics,7200,Automotive service technicians and mechanics,7200,754089.0788,625044.4305,129044.6483
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,7210,Bus and truck mechanics and diesel engine specialists,7210,364548.6802,279172.4227,85376.25749999999
49-3041,Farm Equipment Mechanics and Service Technicians,7220,Heavy vehicle and mobile equipment service technicians and mechanics,7220,222014.8156,191151.1261,30863.6895
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",7220,Heavy vehicle and mobile equipment service technicians and mechanics,7220,222014.8156,191151.1261,30863.6895
49-3043,Rail Car Repairers,7220,Heavy vehicle and mobile equipment service technicians and mechanics,7220,222014.8156,191151.1261,30863.6895
49-3051,Motorboat Mechanics and Service Technicians,7240,Small engine mechanics,7240,38431.5916,36105.5751,2326.0165
49-3052,Motorcycle Mechanics,7240,Small engine mechanics,7240,38431.5916,36105.5751,2326.0165
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,7240,Small engine mechanics,7240,38431.5916,36105.5751,2326.0165
49-3091,Bicycle Repairers,7260,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",7260,127550.11980000001,105371.8589,22178.2609
49-3092,Recreational Vehicle Service Technicians,7260,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",7260,127550.11980000001,105371.8589,22178.2609
49-3093,Tire Repairers and Changers,7260,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",7260,127550.11980000001,105371.8589,22178.2609
49-9011,Mechanical Door Repairers,7300,Control and valve installers and repairers,7300,28185.174699999996,28185.174699999996,0.0
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",7300,Control and valve installers and repairers,7300,28185.174699999996,28185.174699999996,0.0
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",7315,"Heating, air conditioning, and refrigeration mechanics and installers",7315,608473.4645,481969.43360000005,126504.0309
49-9031,Home Appliance Repairers,7320,Home appliance repairers,7320,56387.3213,27179.3577,29207.963600000003
49-9041,Industrial Machinery Mechanics,7330,Industrial and refractory machinery mechanics,7330,395788.1396,323153.58640000003,72634.5532
49-9043,"Maintenance Workers, Machinery",7350,"Maintenance workers, machinery",7350,57643.215299999996,44814.8546,12828.3607
49-9044,Millwrights,7360,Millwrights,7360,56558.4821,56558.4821,0.0
49-9045,"Refractory Materials Repairers, Except Brickmasons",7330,Industrial and refractory machinery mechanics,7330,395788.1396,323153.58640000003,72634.5532
49-9051,Electrical Power-Line Installers and Repairers,7410,Electrical power-line installers and repairers,7410,124664.52329999999,119107.21119999999,5557.3121
49-9052,Telecommunications Line Installers and Repairers,7420,Telecommunications line installers and repairers,7420,128894.75219999999,116692.1635,12202.5887
49-9061,Camera and Photographic Equipment Repairers,7430,Precision instrument and equipment repairers,7430,51604.7255,42964.15,8640.5755
49-9062,Medical Equipment Repairers,7430,Precision instrument and equipment repairers,7430,51604.7255,42964.15,8640.5755
49-9063,Musical Instrument Repairers and Tuners,7430,Precision instrument and equipment repairers,7430,51604.7255,42964.15,8640.5755
49-9064,Watch and Clock Repairers,7430,Precision instrument and equipment repairers,7430,51604.7255,42964.15,8640.5755
49-9069,"Precision Instrument and Equipment Repairers, All Other",7430,Precision instrument and equipment repairers,7430,51604.7255,42964.15,8640.5755
49-9071,"Maintenance and Repair Workers, General",7340,"Maintenance and repair workers, general",7340,760239.2432,634866.5873,125372.6559
49-9081,Wind Turbine Service Technicians,7440,Wind turbine service technicians,,,,
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",7510,"Coin, vending, and amusement machine servicers and repairers",7510,39300.8986,35500.7498,3800.1488
49-9092,Commercial Divers,7520,Commercial divers,,,,
49-9094,Locksmiths and Safe Repairers,7540,Locksmiths and safe repairers,7540,50116.6283,33353.7298,16762.8985
49-9095,Manufactured Building and Mobile Home Installers,7550,Manufactured building and mobile home installers,,,,
49-9096,Riggers,7560,Riggers,7560,18327.1007,16983.3733,1343.7274
49-9097,Signal and Track Switch Repairers,7640,"Other installation, maintenance, and repair workers",7640,267133.1261,205536.9641,61596.162000000004
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",7610,"Helpers--installation, maintenance, and repair workers",7610,9236.5581,5478.0075,3758.5506
49-9099,"Installation, Maintenance, and Repair Workers, All Other",7640,"Other installation, maintenance, and repair workers",7640,267133.1261,205536.9641,61596.162000000004
51-1011,First-Line Supervisors of Production and Operating Workers,7700,First-line supervisors of production and operating workers,7700,713473.9792,585118.1521,128355.8271
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",7710,"Aircraft structure, surfaces, rigging, and systems assemblers",,,,
51-2021,"Coil Winders, Tapers, and Finishers",7750,Other assemblers and fabricators,7750,1028649.2551,836562.8931,192086.362
51-2022,Electrical and Electronic Equipment Assemblers,7750,Other assemblers and fabricators,7750,1028649.2551,836562.8931,192086.362
51-2023,Electromechanical Equipment Assemblers,7750,Other assemblers and fabricators,7750,1028649.2551,836562.8931,192086.362
51-2031,Engine and Other Machine Assemblers,7730,Engine and other machine assemblers,7730,27734.079400000002,27734.079400000002,0.0
51-2041,Structural Metal Fabricators and Fitters,7740,Structural metal fabricators and fitters,7740,38650.903600000005,36385.1523,2265.7513
51-2051,Fiberglass Laminators and Fabricators,7750,Other assemblers and fabricators,7750,1028649.2551,836562.8931,192086.362
51-2061,Timing Device Assemblers and Adjusters,7750,Other assemblers and fabricators,7750,1028649.2551,836562.8931,192086.362
51-2092,Team Assemblers,7750,Other assemblers and fabricators,7750,1028649.2551,836562.8931,192086.362
51-2099,"Assemblers and Fabricators, All Other",7750,Other assemblers and fabricators,7750,1028649.2551,836562.8931,192086.362
51-3011,Bakers,7800,Bakers,7800,309722.30189999996,218339.5048,91382.7971
51-3021,Butchers and Meat Cutters,7810,"Butchers and other meat, poultry, and fish processing workers",7810,216447.5161,153381.5025,63066.0136
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",7810,"Butchers and other meat, poultry, and fish processing workers",7810,216447.5161,153381.5025,63066.0136
51-3023,Slaughterers and Meat Packers,7810,"Butchers and other meat, poultry, and fish processing workers",7810,216447.5161,153381.5025,63066.0136
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",7830,"Food and tobacco roasting, baking, and drying machine operators and tenders",7830,9844.686099999999,9844.686099999999,0.0
51-3092,Food Batchmakers,7840,Food batchmakers,7840,116192.99489999999,85603.2904,30589.7045
51-3093,Food Cooking Machine Operators and Tenders,7850,Food cooking machine operators and tenders,7850,16818.6865,16818.6865,0.0
51-3099,"Food Processing Workers, All Other",7855,"Food processing workers, all other",7855,104750.6696,79864.2105,24886.4591
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",8225,Other metal workers and plastic workers,8225,270194.3316,205632.2157,64562.1159
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",8225,Other metal workers and plastic workers,8225,270194.3316,205632.2157,64562.1159
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",8225,Other metal workers and plastic workers,8225,270194.3316,205632.2157,64562.1159
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",7950,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",7950,78348.1207,69020.0713,9328.0494
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",8025,"Other machine tool setters, operators, and tenders, metal and plastic",8025,1143.6786,1143.6786,0.0
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",8000,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",8000,63041.7646,45893.1796,17148.585
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",8025,"Other machine tool setters, operators, and tenders, metal and plastic",8025,1143.6786,1143.6786,0.0
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",8025,"Other machine tool setters, operators, and tenders, metal and plastic",8025,1143.6786,1143.6786,0.0
51-4041,Machinists,8030,Machinists,8030,313449.9771,261059.1731,52390.804000000004
51-4051,Metal-Refining Furnace Operators and Tenders,8225,Other metal workers and plastic workers,8225,270194.3316,205632.2157,64562.1159
51-4052,"Pourers and Casters, Metal",8225,Other metal workers and plastic workers,8225,270194.3316,205632.2157,64562.1159
51-4061,"Model Makers, Metal and Plastic",8225,Other metal workers and plastic workers,8225,270194.3316,205632.2157,64562.1159
51-4062,"Patternmakers, Metal and Plastic",8225,Other metal workers and plastic workers,8225,270194.3316,205632.2157,64562.1159
51-4071,Foundry Mold and Coremakers,8225,Other metal workers and plastic workers,8225,270194.3316,205632.2157,64562.1159
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",8225,Other metal workers and plastic workers,8225,270194.3316,205632.2157,64562.1159
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",8225,Other metal workers and plastic workers,8225,270194.3316,205632.2157,64562.1159
51-4111,Tool and Die Makers,8130,Tool and die makers,8130,26934.9881,26934.9881,0.0
51-4121,"Welders, Cutters, Solderers, and Brazers",8225,Other metal workers and plastic workers,8225,270194.3316,205632.2157,64562.1159
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",8225,Other metal workers and plastic workers,8225,270194.3316,205632.2157,64562.1159
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",8225,Other metal workers and plastic workers,8225,270194.3316,205632.2157,64562.1159
51-4192,"Layout Workers, Metal and Plastic",8225,Other metal workers and plastic workers,8225,270194.3316,205632.2157,64562.1159
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",8225,Other metal workers and plastic workers,8225,270194.3316,205632.2157,64562.1159
51-4194,"Tool Grinders, Filers, and Sharpeners",8225,Other metal workers and plastic workers,8225,270194.3316,205632.2157,64562.1159
51-4199,"Metal Workers and Plastic Workers, All Other",8225,Other metal workers and plastic workers,8225,270194.3316,205632.2157,64562.1159
51-5111,Prepress Technicians and Workers,8250,Prepress technicians and workers,8250,1747.4602,1747.4602,0.0
51-5112,Printing Press Operators,8255,Printing press operators,8255,140694.18,125397.9545,15296.2255
51-5113,Print Binding and Finishing Workers,8256,Print binding and finishing workers,8256,5800.3463,5800.3463,0.0
51-6011,Laundry and Dry-Cleaning Workers,8300,Laundry and dry-cleaning workers,8300,154962.3118,84940.0483,70022.2635
51-6021,"Pressers, Textile, Garment, and Related Materials",8310,"Pressers, textile, garment, and related materials",8310,29108.987,13997.067200000001,15111.9198
51-6031,Sewing Machine Operators,8320,Sewing machine operators,8320,129202.99399999999,73058.88339999999,56144.1106
51-6041,Shoe and Leather Workers and Repairers,8335,Shoe and leather workers,8335,15628.877900000001,5787.5272,9841.3507
51-6042,Shoe Machine Operators and Tenders,8335,Shoe and leather workers,8335,15628.877900000001,5787.5272,9841.3507
51-6051,"Sewers, Hand",8350,"Tailors, dressmakers, and sewers",8350,67274.8218,38572.866500000004,28701.9553
51-6052,"Tailors, Dressmakers, and Custom Sewers",8350,"Tailors, dressmakers, and sewers",8350,67274.8218,38572.866500000004,28701.9553
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,8365,"Textile machine setters, operators, and tenders",8365,27345.6546,12878.0149,14467.6397
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",8365,"Textile machine setters, operators, and tenders",8365,27345.6546,12878.0149,14467.6397
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",8365,"Textile machine setters, operators, and tenders",8365,27345.6546,12878.0149,14467.6397
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",8365,"Textile machine setters, operators, and tenders",8365,27345.6546,12878.0149,14467.6397
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",8465,"Other textile, apparel, and furnishings workers",8465,10473.037199999999,6079.5383999999995,4393.4988
51-6092,Fabric and Apparel Patternmakers,8465,"Other textile, apparel, and furnishings workers",8465,10473.037199999999,6079.5383999999995,4393.4988
51-6093,Upholsterers,8450,Upholsterers,8450,20702.1146,14761.1729,5940.941699999999
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",8465,"Other textile, apparel, and furnishings workers",8465,10473.037199999999,6079.5383999999995,4393.4988
