2018 SOC Code,2018 SOC Title,2018 Census Code,2018 Census Title ,occ2018,total_lf,native,foreign
13-2022,Appraisers of Personal and Business Property,0960,Other financial specialists,0960,141277.9745,91881.434,49396.5405
13-2023,Appraisers and Assessors of Real Estate,0960,Other financial specialists,0960,141277.9745,91881.434,49396.5405
13-2031,Budget Analysts,0820,Budget analysts,0820,94008.4162,65691.6851,28316.731099999997
13-2041,Credit Analysts,0830,Credit analysts,0830,32034.7067,26542.7153,5491.9914
13-2051,Financial and Investment Analysts,0845,Financial and investment analysts,0845,368351.8711,295971.4234,72380.44769999999
13-2052,Personal Financial Advisors,0850,Personal financial advisors,0850,572272.2733,522290.599,49981.6743
13-2053,Insurance Underwriters,0860,Insurance underwriters,0860,141905.5721,131669.7101,10235.862000000001
13-2054,Financial Risk Specialists,0960,Other financial specialists,0960,141277.9745,91881.434,49396.5405
13-2061,Financial Examiners,0900,Financial examiners,0900,41672.0499,35011.4326,6660.6173
13-2071,Credit Counselors,0960,Other financial specialists,0960,141277.9745,91881.434,49396.5405
13-2072,Loan Officers,0960,Other financial specialists,0960,141277.9745,91881.434,49396.5405
13-2081,"Tax Examiners and Collectors, and Revenue Agents",0930,"Tax examiners and collectors, and revenue agents",0930,60435.8675,46494.8148,13941.0527
13-2082,Tax Preparers,0940,Tax preparers,0940,139240.2765,111583.6611,27656.6154
13-2099,"Financial Specialists, All Other",0960,Other financial specialists,0960,141277.9745,91881.434,49396.5405
15-1211,Computer Systems Analysts,1006,Computer systems analysts,1006,547001.3836000001,436724.1119,110277.2717
15-1212,Information Security Analysts,1007,Information security analysts,1007,290781.6083,240122.068,50659.5403
15-1221,Computer and Information Research Scientists,1005,Computer and information research scientists,1005,60939.999299999996,34212.8063,26727.193
15-1231,Computer Network Support Specialists,1050,Computer support specialists,1050,702330.1878000001,584998.2946,117331.8932
15-1232,Computer User Support Specialists,1050,Computer support specialists,1050,702330.1878000001,584998.2946,117331.8932
15-1241,Computer Network Architects,1106,Computer network architects,1106,93831.4503,87093.5508,6737.8995
15-1242,Database Administrators,1065,Database administrators and architects,1065,193117.78879999998,150872.3216,42245.4672
15-1243,Database Architects,1065,Database administrators and architects,1065,193117.78879999998,150872.3216,42245.4672
15-1244,Network and Computer Systems Administrators,1105,Network and computer systems administrators,1105,196209.9381,148304.9871,47904.951
15-1251,Computer Programmers,1010,Computer programmers,1010,325617.77930000005,241655.08980000002,83962.68950000001
15-1252,Software Developers,1021,Software developers,1021,2272858.8241,1365836.9579,907021.8662
15-1253,Software Quality Assurance Analysts and Testers,1022,Software quality assurance analysts and testers,1022,41642.4145,22685.4972,18956.9173
15-1254,Web Developers,1031,Web developers,1031,70032.8432,60157.7731,9875.0701
15-1255,Web and Digital Interface Designers,1032,Web and digital interface designers,1032,58706.8242,49468.1834,9238.640800000001
15-1299,"Computer Occupations, All Other",1108,"Computer occupations, all other",1108,1194025.4192,948408.759,245616.6602
15-2011,Actuaries,1200,Actuaries,1200,25192.8616,18370.629,6822.232599999999
15-2021,Mathematicians,1210,Mathematicians,,,,
15-2031,Operations Research Analysts,1220,Operations research analysts,1220,145235.7661,134749.46050000002,10486.3056
15-2041,Statisticians,1230,Statisticians,,,,
15-2051,Data Scientists,1240,Other mathematical science occupations,1240,538892.047,420264.5212,118627.5258
15-2099,"Mathematical Science Occupations, All Other",1240,Other mathematical science occupations,1240,538892.047,420264.5212,118627.5258
17-1011,"Architects, Except Landscape and Naval",1305,"Architects, except landscape and naval",1305,291341.7627,242984.8547,48356.908
17-1012,Landscape Architects,1306,Landscape architects,1306,31073.927200000002,31073.927200000002,0.0
17-1021,Cartographers and Photogrammetrists,1310,"Surveyors, cartographers, and photogrammetrists",1310,50641.080799999996,45458.2037,5182.8771
17-1022,Surveyors,1310,"Surveyors, cartographers, and photogrammetrists",1310,50641.080799999996,45458.2037,5182.8771
17-2011,Aerospace Engineers,1320,Aerospace engineers,1320,156378.9647,136738.7077,19640.256999999998
17-2021,Agricultural Engineers,1330,Agricultural engineers,,,,
17-2031,Bioengineers and Biomedical Engineers,1340,Bioengineers and biomedical engineers,1340,39037.5997,33525.0832,5512.5165
17-2041,Chemical Engineers,1350,Chemical engineers,1350,119636.18729999999,82240.4288,37395.758499999996
17-2051,Civil Engineers,1360,Civil engineers,1360,487171.8902,386320.1168,100851.7734
17-2061,Computer Hardware Engineers,1400,Computer hardware engineers,1400,89282.67009999999,51591.147899999996,37691.5222
17-2071,Electrical Engineers,1410,Electrical and electronics engineers,1410,280114.847,217309.3193,62805.5277
17-2072,"Electronics Engineers, Except Computer",1410,Electrical and electronics engineers,1410,280114.847,217309.3193,62805.5277
17-2081,Environmental Engineers,1420,Environmental engineers,1420,60235.6759,48017.9349,12217.741
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1430,"Industrial engineers, including health and safety ",1430,245370.0717,223938.0906,21431.9811
17-2112,Industrial Engineers,1430,"Industrial engineers, including health and safety ",1430,245370.0717,223938.0906,21431.9811
17-2121,Marine Engineers and Naval Architects,1440,Marine engineers and naval architects,1440,13250.260900000001,13250.260900000001,0.0
17-2131,Materials Engineers,1450,Materials engineers,1450,80912.2475,47910.21,33002.0375
17-2141,Mechanical Engineers,1460,Mechanical engineers,1460,424590.68369999994,342352.47599999997,82238.2077
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",1500,"Mining and geological engineers, including mining safety engineers",,,,
17-2161,Nuclear Engineers,1510,Nuclear engineers,,,,
17-2171,Petroleum Engineers,1520,Petroleum engineers,1520,12780.527399999999,12780.527399999999,0.0
17-2199,"Engineers, All Other",1530,"Engineers, all other",1530,723372.2317,506382.954,216989.2777
17-3011,Architectural and Civil Drafters,1541,Architectural and civil drafters,1541,40028.669,34398.676400000004,5629.9926
17-3012,Electrical and Electronics Drafters,1545,Other drafters,1545,67365.9132,57251.1688,10114.7444
17-3013,Mechanical Drafters,1545,Other drafters,1545,67365.9132,57251.1688,10114.7444
17-3019,"Drafters, All Other",1545,Other drafters,1545,67365.9132,57251.1688,10114.7444
17-3021,Aerospace Engineering and Operations Technologists and Technicians,1555,"Other engineering technologists and technicians, except drafters",1555,392255.1187,300589.0462,91666.0725
17-3022,Civil Engineering Technologists and Technicians,1555,"Other engineering technologists and technicians, except drafters",1555,392255.1187,300589.0462,91666.0725
17-3023,Electrical and Electronic Engineering Technologists and Technicians,1551,Electrical and electronic engineering technologists and technicians,1551,76006.0034,51946.042199999996,24059.9612
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,1555,"Other engineering technologists and technicians, except drafters",1555,392255.1187,300589.0462,91666.0725
17-3025,Environmental Engineering Technologists and Technicians,1555,"Other engineering technologists and technicians, except drafters",1555,392255.1187,300589.0462,91666.0725
17-3026,Industrial Engineering Technologists and Technicians,1555,"Other engineering technologists and technicians, except drafters",1555,392255.1187,300589.0462,91666.0725
17-3027,Mechanical Engineering Technologists and Technicians,1555,"Other engineering technologists and technicians, except drafters",1555,392255.1187,300589.0462,91666.0725
17-3028,Calibration Technologists and Technicians,1555,"Other engineering technologists and technicians, except drafters",1555,392255.1187,300589.0462,91666.0725
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",1555,"Other engineering technologists and technicians, except drafters",1555,392255.1187,300589.0462,91666.0725
17-3031,Surveying and Mapping Technicians,1560,Surveying and mapping technicians,1560,37140.3177,32257.3384,4882.9793
19-1011,Animal Scientists,1600,Agricultural and food scientists,1600,10200.8621,10200.8621,0.0
19-1012,Food Scientists and Technologists,1600,Agricultural and food scientists,1600,10200.8621,10200.8621,0.0
19-1013,Soil and Plant Scientists,1600,Agricultural and food scientists,1600,10200.8621,10200.8621,0.0
19-1021,Biochemists and Biophysicists,1610,Biological scientists,1610,72507.20400000001,70999.888,1507.316
19-1022,Microbiologists,1610,Biological scientists,1610,72507.20400000001,70999.888,1507.316
19-1023,Zoologists and Wildlife Biologists,1610,Biological scientists,1610,72507.20400000001,70999.888,1507.316
19-1029,"Biological Scientists, All Other",1610,Biological scientists,1610,72507.20400000001,70999.888,1507.316
19-1031,Conservation Scientists,1640,Conservation scientists and foresters,1640,28816.8167,28816.8167,0.0
19-1032,Foresters,1640,Conservation scientists and foresters,1640,28816.8167,28816.8167,0.0
19-1041,Epidemiologists,1650,Medical scientists,1650,100440.1618,38900.2213,61539.9405
19-1042,"Medical Scientists, Except Epidemiologists",1650,Medical scientists,1650,100440.1618,38900.2213,61539.9405
19-1099,"Life Scientists, All Other",1660,"Life scientists, all other",,,,
19-2011,Astronomers,1700,Astronomers and physicists,1700,17883.7776,13017.6103,4866.1673
19-2012,Physicists,1700,Astronomers and physicists,1700,17883.7776,13017.6103,4866.1673
19-2021,Atmospheric and Space Scientists,1710,Atmospheric and space scientists,1710,7267.7031,7267.7031,0.0
19-2031,Chemists,1720,Chemists and materials scientists,1720,136259.9839,101094.5454,35165.438500000004
19-2032,Materials Scientists,1720,Chemists and materials scientists,1720,136259.9839,101094.5454,35165.438500000004
19-2041,"Environmental Scientists and Specialists, Including Health",1745,"Environmental scientists and specialists, including health",1745,64531.409700000004,64531.409700000004,0.0
19-2042,"Geoscientists, Except Hydrologists and Geographers",1750,"Geoscientists and hydrologists, except geographers",1750,46560.9325,45847.407,713.5255
19-2043,Hydrologists,1750,"Geoscientists and hydrologists, except geographers",1750,46560.9325,45847.407,713.5255
19-2099,"Physical Scientists, All Other",1760,"Physical scientists, all other",1760,395889.0172,205896.4493,189992.5679
19-3011,Economists,1800,Economists,1800,12658.306700000001,7586.861,5071.4457
19-3022,Survey Researchers,1815,Survey researchers,,,,
19-3032,Industrial-Organizational Psychologists,1825,Other psychologists,1825,147540.6021,125301.4938,22239.1083
19-3033,Clinical and Counseling Psychologists,1821,Clinical and counseling psychologists,1821,11583.4309,11153.8239,429.607
19-3034,School Psychologists,1822,School psychologists,1822,64801.11839999999,60814.483499999995,3986.6349
19-3039,"Psychologists, All Other",1825,Other psychologists,1825,147540.6021,125301.4938,22239.1083
19-3041,Sociologists,1830,Sociologists,,,,
19-3051,Urban and Regional Planners,1840,Urban and regional planners,1840,32212.001,32212.001,0.0
19-3091,Anthropologists and Archeologists,1860,Miscellaneous social scientists and related workers,1860,37002.8092,36390.9945,611.8147
19-3092,Geographers,1860,Miscellaneous social scientists and related workers,1860,37002.8092,36390.9945,611.8147
19-3093,Historians,1860,Miscellaneous social scientists and related workers,1860,37002.8092,36390.9945,611.8147
19-3094,Political Scientists,1860,Miscellaneous social scientists and related workers,1860,37002.8092,36390.9945,611.8147
19-3099,"Social Scientists and Related Workers, All Other",1860,Miscellaneous social scientists and related workers,1860,37002.8092,36390.9945,611.8147
19-4012,Agricultural Technicians,1970,"Other life, physical, and social science technicians",1970,354201.58599999995,302902.4051,51299.1809
19-4013,Food Science Technicians,1970,"Other life, physical, and social science technicians",1970,354201.58599999995,302902.4051,51299.1809
19-4021,Biological Technicians,1910,Biological technicians,1910,15171.649,15171.649,0.0
19-4031,Chemical Technicians,1920,Chemical technicians,1920,76466.9754,69825.34479999999,6641.6306
19-4042,"Environmental Science and Protection Technicians, Including Health",1970,"Other life, physical, and social science technicians",1970,354201.58599999995,302902.4051,51299.1809
19-4043,"Geological Technicians, Except Hydrologic Technicians",1970,"Other life, physical, and social science technicians",1970,354201.58599999995,302902.4051,51299.1809
19-4044,Hydrologic Technicians,1970,"Other life, physical, and social science technicians",1970,354201.58599999995,302902.4051,51299.1809
19-4051,Nuclear Technicians,1940,Nuclear technicians,,,,
19-4061,Social Science Research Assistants,1950,Social science research assistants,,,,
19-4071,Forest and Conservation Technicians,1970,"Other life, physical, and social science technicians",1970,354201.58599999995,302902.4051,51299.1809
19-4092,Forensic Science Technicians,1970,"Other life, physical, and social science technicians",1970,354201.58599999995,302902.4051,51299.1809
19-4099,"Life, Physical, and Social Science Technicians, All Other",1970,"Other life, physical, and social science technicians",1970,354201.58599999995,302902.4051,51299.1809
19-5011,Occupational Health and Safety Specialists,1980,Occupational health and safety specialists and technicians,1980,76458.61249999999,75554.6448,903.9677
19-5012,Occupational Health and Safety Technicians,1980,Occupational health and safety specialists and technicians,1980,76458.61249999999,75554.6448,903.9677
21-1011,Substance Abuse and Behavioral Disorder Counselors,2001,Substance abuse and behavioral disorder counselors,2001,201875.5525,170072.0994,31803.4531
21-1012,"Educational, Guidance, and Career Counselors and Advisors",2002,"Educational, guidance, and career counselors and advisors",2002,346186.9409,322348.2797,23838.6612
21-1013,Marriage and Family Therapists,2003,Marriage and family therapists,2003,47146.7399,44006.0173,3140.7226
21-1014,Mental Health Counselors,2004,Mental health counselors,2004,249415.3106,222463.5197,26951.7909
21-1015,Rehabilitation Counselors,2005,Rehabilitation counselors,2005,21102.328700000002,11557.333900000001,9544.9948
21-1019,"Counselors, All Other",2006,"Counselors, all other",2006,290741.6237,275864.5212,14877.102499999999
21-1021,"Child, Family, and School Social Workers",2011,"Child, family, and school social workers",2011,74928.5325,70267.5267,4661.0058
21-1022,Healthcare Social Workers,2012,Healthcare social workers,2012,153001.5173,136608.2379,16393.2794
21-1023,Mental Health and Substance Abuse Social Workers,2013,Mental health and substance abuse social workers,2013,24622.4905,24622.4905,0.0
21-1029,"Social Workers, All Other",2014,"Social workers, all other",2014,596521.2911,529363.3265,67157.9646
21-1091,Health Education Specialists,2025,Other community and social service specialists,2025,129848.5426,101045.1964,28803.3462
21-1092,Probation Officers and Correctional Treatment Specialists,2015,Probation officers and correctional treatment specialists,2015,35845.7445,35845.7445,0.0
21-1093,Social and Human Service Assistants,2016,Social and human service assistants,2016,151638.2389,130114.7353,21523.5036
21-1094,Community Health Workers,2025,Other community and social service specialists,2025,129848.5426,101045.1964,28803.3462
21-1099,"Community and Social Service Specialists, All Other",2025,Other community and social service specialists,2025,129848.5426,101045.1964,28803.3462
21-2011,Clergy,2040,Clergy,2040,431930.4209,397102.8462,34827.5747
21-2021,"Directors, Religious Activities and Education",2050,"Directors, religious activities and education",2050,84099.79920000001,84099.79920000001,0.0
21-2099,"Religious Workers, All Other",2060,"Religious workers, all other",2060,83528.1544,79204.4491,4323.7053
23-1011,Lawyers,2100,Lawyers,2100,1173167.8333,1067444.1387,105723.6946
23-1012,Judicial Law Clerks,2105,Judicial law clerks,2105,18812.9232,18073.9192,739.004
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",2110,"Judges, magistrates, and other judicial workers",,,,
23-1022,"Arbitrators, Mediators, and Conciliators",2110,"Judges, magistrates, and other judicial workers",,,,
23-1023,"Judges, Magistrate Judges, and Magistrates",2110,"Judges, magistrates, and other judicial workers",,,,
23-2011,Paralegals and Legal Assistants,2145,Paralegals and legal assistants,2145,433590.3334,377606.1889,55984.1445
23-2093,"Title Examiners, Abstractors, and Searchers",2170,"Title examiners, abstractors, and searchers",2170,96312.9023,88514.1562,7798.7461
23-2099,"Legal Support Workers, All Other",2180,"Legal support workers, all other",2180,68529.8262,68529.8262,0.0
25-1011,"Business Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1021,"Computer Science Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1022,"Mathematical Science Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1031,"Architecture Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1032,"Engineering Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1041,"Agricultural Sciences Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1042,"Biological Science Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1052,"Chemistry Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1053,"Environmental Science Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1054,"Physics Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1061,"Anthropology and Archeology Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1063,"Economics Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1064,"Geography Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1065,"Political Science Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1066,"Psychology Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1067,"Sociology Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1069,"Social Sciences Teachers, Postsecondary, All Other",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1071,"Health Specialties Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1072,"Nursing Instructors and Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1081,"Education Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1082,"Library Science Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1112,"Law Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1113,"Social Work Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1121,"Art, Drama, and Music Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1122,"Communications Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1123,"English Language and Literature Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1124,"Foreign Language and Literature Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1125,"History Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1126,"Philosophy and Religion Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1194,"Career/Technical Education Teachers, Postsecondary",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-1199,"Postsecondary Teachers, All Other",2205,Postsecondary teachers,2205,1076538.4298999999,776626.6873,299911.7426
25-2011,"Preschool Teachers, Except Special Education",2300,Preschool and kindergarten teachers,2300,725682.0814,623098.5877,102583.49369999999
25-2012,"Kindergarten Teachers, Except Special Education",2300,Preschool and kindergarten teachers,2300,725682.0814,623098.5877,102583.49369999999
25-2021,"Elementary School Teachers, Except Special Education",2310,Elementary and middle school teachers,2310,3690831.7715,3391622.8454,299208.9261
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",2310,Elementary and middle school teachers,2310,3690831.7715,3391622.8454,299208.9261
25-2023,"Career/Technical Education Teachers, Middle School",2310,Elementary and middle school teachers,2310,3690831.7715,3391622.8454,299208.9261
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",2320,Secondary school teachers,2320,810671.4789,732193.9587,78477.5202
25-2032,"Career/Technical Education Teachers, Secondary School",2320,Secondary school teachers,2320,810671.4789,732193.9587,78477.5202
25-2051,"Special Education Teachers, Preschool",2330,Special education teachers,2330,369033.3699,340040.7672,28992.6027
25-2055,"Special Education Teachers, Kindergarten",2330,Special education teachers,2330,369033.3699,340040.7672,28992.6027
25-2056,"Special Education Teachers, Elementary School",2330,Special education teachers,2330,369033.3699,340040.7672,28992.6027
25-2057,"Special Education Teachers, Middle School",2330,Special education teachers,2330,369033.3699,340040.7672,28992.6027
25-2058,"Special Education Teachers, Secondary School",2330,Special education teachers,2330,369033.3699,340040.7672,28992.6027
25-2059,"Special Education Teachers, All Other",2330,Special education teachers,2330,369033.3699,340040.7672,28992.6027
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",2360,Other teachers and instructors,2360,1102001.301,927821.2495,174180.0515
25-3021,Self-Enrichment Teachers,2360,Other teachers and instructors,2360,1102001.301,927821.2495,174180.0515
25-3031,"Substitute Teachers, Short-Term",2360,Other teachers and instructors,2360,1102001.301,927821.2495,174180.0515
25-3041,Tutors,2350,Tutors,2350,194926.8836,179055.2842,15871.5994
25-3099,"Teachers and Instructors, All Other",2360,Other teachers and instructors,2360,1102001.301,927821.2495,174180.0515
25-4011,Archivists,2400,"Archivists, curators, and museum technicians",2400,105468.318,105468.318,0.0
