occ2018,total_lf,native,foreign,2018 Census Title ,2018 Census Code,2018 SOC Code,2018 SOC Title,2018 Census Title,TOT_EMP
4710,1059764.5639,862050.5447,197714.0192,First-Line supervisors of non-retail sales workers,4710.0,41-1012,,,219010
7750,1028649.2551,836562.8931,192086.362,Other assemblers and fabricators,7750.0,51-20XX,,,1874550
350,961240.3167,821776.4267,139463.89,Medical and health services managers,350.0,11-9111,,,565840
5510,915729.6933,717150.2002,198579.4931,Couriers and messengers,5510.0,43-5021,,,71920
3090,885507.1714999999,683187.4157,202319.7558,Other physicians,3090.0,29-12XX,,,1036850
6050,881377.3282999999,441286.0153,440091.313,Miscellaneous agricultural workers,6050.0,45-2090,,,333030
630,858244.3167999999,761338.8239,96905.4929,Human resources workers,630.0,13-1070,,,982460
5940,856955.307,753468.7864,103486.5206,"Office and administrative support workers, all other",5940.0,43-9199,,,195890
410,846995.1854,741027.6207,105967.5647,"Property, real estate, and community association managers",410.0,11-9141,,,296640
6200,845673.5107999999,661813.8474,183859.6634,First-line supervisors of construction trades and extraction workers,6200.0,47-1011,,,806080
8740,812641.4675,650207.909,162433.55849999998,"Inspectors, testers, sorters, samplers, and weighers",8740.0,51-9061,,,591180
2320,810671.4789,732193.9587,78477.5202,Secondary school teachers,2320.0,25-2030,,,1176990
3601,763017.4849,404540.5238,358476.9611,Home health aides,3601.0,31-1121,,,
4510,762993.3877999999,626526.933,136466.4548,"Hairdressers, hairstylists, and cosmetologists",4510.0,39-5012,,,295460
7340,760239.2432,634866.5873,125372.6559,"Maintenance and repair workers, general",7340.0,49-9071,,,1531700
7200,754089.0788,625044.4305,129044.6483,Automotive service technicians and mechanics,7200.0,49-3023,,,688840
2300,725682.0814,623098.5877,102583.4937,Preschool and kindergarten teachers,2300.0,25-2010,,,559490
1530,723372.2317,506382.954,216989.2777,"Engineers, all other",1530.0,17-2199,,,150750
205,722817.0606999999,709330.7775,13486.2832,"Farmers, ranchers, and other agricultural managers",205.0,11-9013,,,5910
-1,717270.0977,601566.3354,115703.7623,,,,,Occupation not reported,
7700,713473.9792,585118.1521,128355.8271,First-line supervisors of production and operating workers,7700.0,51-1011,,,685140
110,709911.9410999999,539689.8347,170222.1064,Computer and information systems managers,110.0,11-3021,,,645970
1050,702330.1878000001,584998.2946,117331.8932,Computer support specialists,1050.0,15-1230,,,843660
6442,682556.9533,581905.6877,100651.2656,"Plumbers, pipefitters, and steamfitters",6442.0,47-2152,,,455940
9600,680092.1545,493580.2131,186511.9414,Industrial truck and tractor operators,9600.0,53-7051,,,805770
3645,670646.3257,577092.6668,93553.6589,Medical assistants,3645.0,31-9092,,,793460
51,664517.0776999999,577422.2782,87094.79950000001,Marketing managers,51.0,11-2021,,,384980
4810,656318.8417,529518.2588,126800.5829,Insurance sales agents,4810.0,41-3021,,,469480
3870,646248.4909,626272.3864,19976.1045,Police officers,3870.0,33-3050,,,669990
5610,640262.8145,503344.5024,136918.3121,"Shipping, receiving, and inventory clerks",5610.0,43-5071,,,857630
6410,626009.5275,291102.7657,334906.7618,Painters and paperhangers,6410.0,47-2140,,,225700
9142,621983.0699,234653.7047,387329.3652,Taxi drivers,9142.0,53-3054,,,17510
750,610392.5995,534899.6794,75492.9201,"Business operations specialists, all other",750.0,13-1199,,,1128200
7315,608473.4645,481969.4336000001,126504.0309,"Heating, air conditioning, and refrigeration mechanics and installers",7315.0,49-9021,,,396870
3500,597611.7101,509586.8581,88024.852,Licensed practical and licensed vocational nurses,3500.0,29-2061,,,632430
2014,596521.2911,529363.3265,67157.9646,"Social workers, all other",2014.0,21-1029,,,64940
4840,594692.8277,498335.0899,96357.7378,"Sales representatives of services, except advertising, insurance, financial services, and travel",4840.0,41-3091,,,1189330
9640,578525.9301,352835.0375,225690.8926,"Packers and packagers, hand",9640.0,53-7064,,,601440
850,572272.2733,522290.599,49981.6743,Personal financial advisors,850.0,13-2052,,,270480
8140,547187.1754000001,426108.2858,121078.8896,"Welding, soldering, and brazing workers",8140.0,51-4120,,,460330
1006,547001.3836000001,436724.1119,110277.2717,Computer systems analysts,1006.0,15-1211,,,497800
4010,540023.158,490215.5211,49807.6369,First-line supervisors of food preparation and serving workers,4010.0,35-1012,,,1187460
1240,538892.047,420264.5212,118627.5258,Other mathematical science occupations,1240.0,15-20XX,,,406220
52,531757.6537,455671.2085,76086.4452,Sales managers,52.0,11-2022,,,603710
4000,530674.6475,310809.6191,219865.0284,Chefs and head cooks,4000.0,35-1011,,,182320
735,523808.6094,422069.6826,101738.9268,Market research analysts and marketing specialists,735.0,13-1161,,,861140
1360,487171.8902,386320.1168,100851.7734,Civil engineers,1360.0,17-2051,,,355410
420,482998.0508,404611.3896,78386.6612,Social and community service managers,420.0,11-9151,,,195490
4040,474917.5021,424681.7199,50235.7822,Bartenders,4040.0,35-3011,,,745610
4965,471676.0427,377351.1434,94324.8993,"Sales and related workers, all other",4965.0,41-9099,,,99070
910,457827.2858,424659.8432,33167.4426,Credit counselors and loan officers,910.0,13-2070,,,318640
6305,443375.5332,417232.4565,26143.0767,Construction equipment operators,6305.0,47-2070,,,517990
9610,440188.6884,298639.5503,141549.1381,Cleaners of vehicles and equipment,9610.0,53-7061,,,373960
2145,433590.3334,377606.1889,55984.1445,Paralegals and legal assistants,2145.0,23-2011,,,367220
2040,431930.4209,397102.8462,34827.5747,Clergy,2040.0,21-2011,,,58080
5550,426293.4175,383940.0255,42353.392,Postal service mail carriers,5550.0,43-5052,,,336040
4350,425459.6537,413145.038,12314.6157,Animal caretakers,4350.0,39-2021,,,277300
1460,424590.6837,342352.476,82238.2077,Mechanical engineers,1460.0,17-2141,,,286760
160,399296.8175,303947.6664,95349.1511,"Transportation, storage, and distribution managers",160.0,11-3071,,,213000
1760,395889.0172,205896.4493,189992.5679,"Physical scientists, all other",1760.0,19-2099,,,22580
7330,395788.1396,323153.58640000003,72634.5532,Industrial and refractory machinery mechanics,7330.0,49-904X,,,520240
1555,392255.1187,300589.0462,91666.0725,"Other engineering technologists and technicians, except drafters",1555.0,17-302X,,,381670
4150,387693.2967,341517.213,46176.0837,"Hosts and hostesses, restaurant, lounge, and coffee shop",4150.0,35-9031,,,427150
540,377569.4816,345010.0335,32559.4481,"Claims adjusters, appraisers, examiners, and investigators",540.0,13-1030,,,312810
2330,369033.3699,340040.7672,28992.6027,Special education teachers,2330.0,25-2050,,,557230
845,368351.8711,295971.4234,72380.44769999999,Financial and investment analysts,845.0,13-2051,,,340580
5110,367209.8125,314254.3094,52955.5031,Billing and posting clerks,5110.0,43-3021,,,417500
3740,365342.2031,365342.2031,0.0,Firefighters,3740.0,33-2011,,,332240
7210,364548.6802,279172.4227,85376.25749999999,Bus and truck mechanics and diesel engine specialists,7210.0,49-3031,,,287230
2722,363482.2496,347513.8075,15968.4421,Coaches and scouts,2722.0,27-2022,,,250940
1970,354201.58599999995,302902.4051,51299.1809,"Other life, physical, and social science technicians",1970.0,19-40XX,,,373270
4200,354057.6022,238680.9479,115376.6543,First-line supervisors of housekeeping and janitorial workers,4200.0,37-1011,,,174660
3050,353213.14,290417.9852,62795.1548,Pharmacists,3050.0,29-1051,,,328870
2002,346186.9409,322348.2797,23838.6612,"Educational, guidance, and career counselors and advisors",2002.0,21-1012,,,342350
4210,339187.4278,245237.24,93950.1878,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",4210.0,37-1012,,,124130
2640,337536.8888,288540.6682,48996.2206,Other designers,2640.0,27-102X,,,588170
3160,337416.3354,286208.9585,51207.3769,Physical therapists,3160.0,29-1123,,,248630
6515,335957.9901,159900.177,176057.8131,Roofers,6515.0,47-2181,,,136740
2634,335071.9502,295300.9952,39770.955,Graphic designers,2634.0,27-1024,,,214260
4120,333479.179,286997.1059,46482.0731,"Food servers, nonrestaurant",4120.0,35-3041,,,271780
3421,333149.0984,291159.4439,41989.6545,Pharmacy technicians,3421.0,29-2052,,,487920
2600,330383.0476,299502.5011,30880.5465,Artists and related workers,2600.0,27-1010,,,93390
140,328040.56889999995,281144.4137,46896.1552,Industrial production managers,140.0,11-3051,,,234380
530,326752.536,287475.6127,39276.9233,"Purchasing agents, except wholesale, retail, and farm products",530.0,13-1023,,,
1010,325617.77930000005,241655.0898,83962.68950000001,Computer programmers,1010.0,15-1251,,,109870
565,323550.8774,270691.3959,52859.4815,Compliance officers,565.0,13-1041,,,397770
136,320956.2605,286556.608,34399.6525,Human resources managers,136.0,11-3121,,,215520
5810,316672.6809,285096.4669,31576.214,Data entry keyers,5810.0,43-9021,,,135280
8030,313449.9771,261059.1731,52390.804,Machinists,8030.0,51-4041,,,298790
3802,312128.7025,288077.1702,24051.5323,Correctional officers and jailers,3802.0,33-3012,,,365380
9005,310908.1006,274390.6893,36517.4113,Supervisors of transportation and material moving workers,9005.0,53-1000,,,0
7800,309722.3019,218339.5048,91382.7971,Bakers,7800.0,51-3011,,,231890
3300,308980.1788,231616.9001,77363.2787,Clinical laboratory technologists and technicians,3300.0,29-2010,,,343040
4130,306530.5545,197568.9721,108961.5824,Dining room and cafeteria attendants and bartender helpers,4130.0,35-9011,,,522010
9122,303666.3506,206609.5217,97056.8289,"Bus drivers, transit and intercity",9122.0,53-3052,,,148980
5840,296515.69470000005,284213.20290000003,12302.4918,Insurance claims and policy processing clerks,5840.0,43-9041,,,229070
1305,291341.7627,242984.8547,48356.908,"Architects, except landscape and naval",1305.0,17-1011,,,111140
1007,290781.6083,240122.068,50659.5403,Information security analysts,1007.0,15-1212,,,179430
2006,290741.6237,275864.5212,14877.1025,"Counselors, all other",2006.0,21-1019,,,33340
4621,289761.7427,251635.7063,38126.0364,Exercise trainers and group fitness instructors,4621.0,39-9031,,,303620
8800,287068.1588,130658.492,156409.6668,Packaging and filling machine operators and tenders,8800.0,51-9111,,,383860
3258,286776.94680000003,263949.97010000004,22826.9767,Nurse practitioners,3258.0,29-1171,,,307390
7000,286065.0262,269255.112,16809.9142,"First-line supervisors of mechanics, installers, and repairers",7000.0,49-1011,,,600680
4950,284512.7024,231297.2567,53215.4457,"Door-to-door sales workers, news and street vendors, and related workers",4950.0,41-9091,,,4590
1410,280114.847,217309.3193,62805.5277,Electrical and electronics engineers,1410.0,17-2070,,,282730
3655,278419.865,226889.7846,51530.0804,Other healthcare support workers,3655.0,31-909X,,,1682540
4521,278314.3806,82954.7399,195359.6407,Manicurists and pedicurists,4521.0,39-5092,,,147820
2710,273063.11010000005,228604.1892,44458.9209,Producers and directors,2710.0,27-2012,,,145270
8225,270194.3316,205632.2157,64562.1159,Other metal workers and plastic workers,8225.0,51-4XXX,,,1599750
7640,267133.1261,205536.9641,61596.162,"Other installation, maintenance, and repair workers",7640.0,49-909X,,,363480
5710,259915.3075,253520.6803,6394.6272,Executive secretaries and executive administrative assistants,5710.0,43-6011,,,472770
9121,259903.8473,192240.5059,67663.3414,"Bus drivers, school",9121.0,53-3051,,,387920
4435,258744.596,250333.7468,8410.8492,Other entertainment attendants and related workers,4435.0,39-30XX,,,627560
3960,258404.5645,258404.5645,0.0,Other protective service workers,3960.0,33-909X,,,435360
3245,257229.3906,233651.9694,23577.4212,"Therapists, all other",3245.0,29-1129,,,19320
2004,249415.3106,222463.5197,26951.7909,Mental health counselors,2004.0,21-1014,,,
2850,247845.3803,214001.7645,33843.6158,Writers and authors,2850.0,27-3043,,,47800
650,245881.3036,237072.6064,8808.697199999999,Training and development specialists,650.0,13-1151,,,436610
3640,245769.5588,194399.355,51370.2038,Dental assistants,3640.0,31-9091,,,375430
1430,245370.0717,223938.0906,21431.9811,"Industrial engineers, including health and safety ",1430.0,17-2110,,,373450
3310,237521.5778,211142.061,26379.5168,Dental hygienists,3310.0,29-1292,,,219070
3323,237480.9257,208550.8164,28930.1093,Radiologic technologists and technicians,3323.0,29-2034,,,223460
2910,233732.4333,206675.3517,27057.0816,Photographers,2910.0,27-4021,,,51230
5600,233239.3306,205678.9345,27560.3961,"Production, planning, and expediting clerks",5600.0,43-5061,,,385000
4140,232470.418,163462.8935,69007.5245,Dishwashers,4140.0,35-9021,,,471670
3230,226519.7284,201936.9288,24582.7996,Speech-language pathologists,3230.0,29-1127,,,178790
7220,222014.8156,191151.1261,30863.6895,Heavy vehicle and mobile equipment service technicians and mechanics,7220.0,49-3040,,,235450
150,217737.7872,195662.6006,22075.1866,Purchasing managers,150.0,11-3061,,,81240
7810,216447.5161,153381.5025,63066.0136,"Butchers and other meat, poultry, and fish processing workers",7810.0,51-3020,,,348630
3010,211905.5118,153603.8604,58301.6514,Dentists,3010.0,29-1020,,,130630
520,210526.4207,190463.0584,20063.3623,"Wholesale and retail buyers, except farm products",520.0,13-1022,,,
5160,204785.8687,188340.2033,16445.665399999998,Tellers,5160.0,43-3071,,,339340
700,202811.0273,176555.3471,26255.6802,Logisticians,700.0,13-1081,,,235640
2001,201875.5525,170072.0994,31803.4531,Substance abuse and behavioral disorder counselors,2001.0,21-1011,,,
725,201440.9887,188637.3849,12803.6038,"Meeting, convention, and event planners",725.0,13-1121,,,134670
1105,196209.9381,148304.9871,47904.951,Network and computer systems administrators,1105.0,15-1244,,,318570
2350,194926.8836,179055.2842,15871.5994,Tutors,2350.0,25-3041,,,174660
1065,193117.7888,150872.3216,42245.4672,Database administrators and architects,1065.0,15-124X,,,633530
3630,191986.0877,131920.666,60065.4217,Massage therapists,3630.0,31-9011,,,96040
3910,189958.1527,151638.7427,38319.41,Private detectives and investigators,3910.0,33-9021,,,38700
2435,189765.1242,185419.6575,4345.4667,Librarians and media collections specialists,2435.0,25-4022,,,131830
300,188167.0414,132240.2614,55926.78,Architectural and engineering managers,300.0,11-9041,,,210340
4820,185527.8827,168689.8769,16838.0058,"Securities, commodities, and financial services sales agents",4820.0,41-3031,,,472300
600,183747.3682,161312.4385,22434.9297,Cost estimators,600.0,13-1051,,,219530
5140,182574.7155,170190.9641,12383.7514,Payroll and timekeeping clerks,5140.0,43-3051,,,156950
9030,180764.7837,161530.73619999998,19234.0475,Aircraft pilots and flight engineers,9030.0,53-2010,,,151130
7140,179913.0429,153832.4969,26080.546,Aircraft mechanics and service technicians,7140.0,49-3011,,,136390
2752,170054.247,149093.8871,20960.3599,Musicians and singers,2752.0,27-2042,,,38350
5522,169898.7182,146544.1868,23354.5314,"Dispatchers, except police, fire, and ambulance",5522.0,43-5032,,,211000
5310,165717.2844,158373.054,7344.2304,"Interviewers, except eligibility and loan",5310.0,43-4111,,,157310
9720,162671.7388,112963.5163,49708.2225,Refuse and recyclable material collectors,9720.0,53-7081,,,139180
2555,162438.9589,143512.1165,18926.8424,Other educational instruction and library workers,2555.0,25-90XX,,,1866060
9050,160768.4202,148658.95309999998,12109.4671,Flight attendants,9050.0,53-2031,,,130110
3110,159190.6568,125890.6034,33300.0534,Physician assistants,3110.0,29-1071,,,155540
4655,158044.0252,128570.1786,29473.8466,"Personal care and service workers, all other",4655.0,39-9099,,,62390
8810,157815.8259,120097.7834,37718.0425,Painting workers,8810.0,51-9120,,,167970
3322,157312.1153,154611.7904,2700.3249,Diagnostic medical sonographers,3322.0,29-2032,,,86460
1320,156378.9647,136738.7077,19640.257,Aerospace engineers,1320.0,17-2011,,,68440
9150,156008.5796,134112.6125,21895.9671,"Motor vehicle operators, all other",9150.0,53-3099,,,50330
8300,154962.3118,84940.0483,70022.2635,Laundry and dry-cleaning workers,8300.0,51-6011,,,195360
2012,153001.5173,136608.2379,16393.2794,Healthcare social workers,2012.0,21-1022,,,185940
2016,151638.2389,130114.7353,21523.5036,Social and human service assistants,2016.0,21-1093,,,424220
8620,150990.1286,144854.0722,6136.0564,Water and wastewater treatment plant and system operators,8620.0,51-8031,,,126750
4800,149879.9996,130400.2112,19479.7884,Advertising sales agents,4800.0,41-3011,,,97470
3550,149117.1483,142482.987,6634.1613,Other healthcare practitioners and technical occupations,3550.0,29-9000,,,0
3030,147992.9265,127217.8466,20775.0799,Dietitians and nutritionists,3030.0,29-1031,,,76570
1825,147540.6021,125301.4938,22239.1083,Other psychologists,1825.0,19-303X,,,154860
5300,147024.92200000002,134621.7563,12403.1657,"Hotel, motel, and resort desk clerks",5300.0,43-4081,,,261430
1220,145235.7661,134749.46050000002,10486.3056,Operations research analysts,1220.0,15-2031,,,107760
6520,143033.1468,130304.8197,12728.3271,Sheet metal workers,6520.0,47-2211,,,117470
3401,142747.4631,142747.4631,0.0,Emergency medical technicians,3401.0,29-2042,,,177980
860,141905.5721,131669.7101,10235.862,Insurance underwriters,860.0,13-2053,,,107820
4750,141451.4617,115877.8198,25573.6419,Parts salespersons,4750.0,41-2022,,,265060
4622,141424.6473,132616.9426,8807.7047,Recreation workers,4622.0,39-9032,,,309640
960,141277.9745,91881.434,49396.5405,Other financial specialists,960.0,13-20XX,,,3033120
8255,140694.18,125397.9545,15296.2255,Printing press operators,8255.0,51-5112,,,145110
5260,139338.2648,116201.2573,23137.0075,File clerks,5260.0,43-4071,,,78980
940,139240.2765,111583.6611,27656.6154,Tax preparers,940.0,13-2082,,,73570
3422,138540.0974,114267.317,24272.7804,Psychiatric technicians,3422.0,29-2053,,,136300
3545,136314.4192,124839.7763,11474.6429,Miscellaneous health technologists and technicians,3545.0,29-2090,,,194570
1720,136259.9839,101094.5454,35165.438500000004,Chemists and materials scientists,1720.0,19-2030,,,91580
3150,136167.9238,130647.3115,5520.6123,Occupational therapists,3150.0,29-1122,,,152280
2635,135498.95870000002,121983.4927,13515.466,Interior designers,2635.0,27-1025,,,69580
60,133912.7612,133356.3059,556.4553,Public relations and fundraising managers,60.0,11-2030,,,112980
6220,133367.5361,83112.0856,50255.4505,"Brickmasons, blockmasons, and stonemasons",6220.0,47-2020,,,62270
4500,133202.0899,109615.0989,23586.991,Barbers,4500.0,39-5011,,,18100
6330,132869.9246,57570.1033,75299.8213,"Drywall installers, ceiling tile installers, and tapers",6330.0,47-2080,,,95400
3620,132218.79200000002,122941.0898,9277.7022,Physical therapist assistants and aides,3620.0,31-2020,,,152020
2025,129848.5426,101045.1964,28803.3462,Other community and social service specialists,2025.0,21-109X,,,747310
8320,129202.994,73058.88339999999,56144.1106,Sewing machine operators,8320.0,51-6031,,,109590
7720,128973.1051,89794.9534,39178.1517,"Electrical, electronics, and electromechanical assemblers",7720.0,51-2020,,,273310
3820,128903.1074,109322.6379,19580.4695,Detectives and criminal investigators,3820.0,33-3021,,,110790
7420,128894.7522,116692.1635,12202.5887,Telecommunications line installers and repairers,7420.0,49-9052,,,98360
6660,128813.3122,111873.15,16940.1622,Construction and building inspectors,6660.0,47-4011,,,137210
7260,127550.1198,105371.8589,22178.2609,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",7260.0,49-3090,,,137920
3515,127502.2862,127502.2862,0.0,Medical records specialists,3515.0,29-2072,,,187910
7150,127089.9733,68379.3176,58710.6557,Automotive body and related repairers,7150.0,49-3021,,,155220
7010,126899.0287,109317.745,17581.2837,"Computer, automated teller, and office machine repairers",7010.0,49-2011,,,73010
7020,126527.0306,94625.6385,31901.3921,Radio and telecommunications equipment installers and repairers,7020.0,49-2020,,,165290
7410,124664.5233,119107.2112,5557.3121,Electrical power-line installers and repairers,7410.0,49-9051,,,123680
5165,124379.5435,106587.3084,17792.235099999998,"Financial clerks, all other",5165.0,43-3099,,,37030
8610,123283.2937,108325.1452,14958.1485,Stationary engineers and boiler operators,8610.0,51-8021,,,30780
3402,122002.1414,93210.6654,28791.476,Paramedics,3402.0,29-2043,,,99530
4400,120641.6465,97330.5851,23311.0614,Gambling services workers,4400.0,39-3010,,,105500
1350,119636.1873,82240.4288,37395.7585,Chemical engineers,1350.0,17-2041,,,20330
2920,119196.9951,110367.5155,8829.4796,"Television, video, and film camera operators and editors",2920.0,27-4030,,,53320
102,118738.4303,103899.813,14838.6173,Facilities managers,102.0,11-3013,,,141090
4522,117276.7286,93479.6353,23797.0933,Skincare specialists,4522.0,39-5094,,,70240
3220,116442.4216,75091.4054,41351.0162,Respiratory therapists,3220.0,29-1126,,,136420
7840,116192.9949,85603.2904,30589.7045,Food batchmakers,7840.0,51-3092,,,171660
3649,115710.0195,71510.3938,44199.6257,Phlebotomists,3649.0,31-9097,,,138880
2825,114638.367,110312.9835,4325.3835,Public relations specialists,2825.0,27-3031,,,280590
101,114396.0907,99447.3241,14948.7666,Administrative services managers,101.0,11-3012,,,254140
340,109961.2221,97588.4026,12372.8195,Lodging managers,340.0,11-9081,,,41350
5410,109783.934,94239.7032,15544.2308,Reservation and transportation ticket agents and travel clerks,5410.0,43-4181,,,127440
3423,108024.3641,90754.5686,17269.7955,Surgical technologists,3423.0,29-2055,,,113890
2400,105468.318,105468.318,0.0,"Archivists, curators, and museum technicians",2400.0,25-4010,,,32400
9141,105456.8929,72835.0232,32621.8697,Shuttle drivers and chauffeurs,9141.0,53-3053,,,229630
4240,104922.1812,91930.1768,12992.0044,Pest control workers,4240.0,37-2021,,,96110
7855,104750.6696,79864.2105,24886.4591,"Food processing workers, all other",7855.0,51-3099,,,57920
3424,104664.3559,104385.4243,278.9316,Veterinary technologists and technicians,3424.0,29-2056,,,131320
4252,104389.311,74380.6645,30008.646500000003,Tree trimmers and pruners,4252.0,37-3013,,,47870
2905,101683.7061,101683.7061,0.0,"Broadcast, sound, and lighting technicians",2905.0,27-4010,,,114340
1650,100440.1618,38900.2213,61539.9405,Medical scientists,1650.0,19-1040,,,167760
9365,100090.7043,87912.2302,12178.4741,Transportation service attendants,9365.0,53-6030,,,125580
2830,99545.2938,93207.6844,6337.6094,Editors,2830.0,27-3041,,,95480
5630,99086.3014,73847.8974,25238.404,"Weighers, measurers, checkers, and samplers, recordkeeping",5630.0,43-5111,,,49720
2861,98071.3432,48135.9638,49935.3794,Interpreters and translators,2861.0,27-3091,,,53360
5100,96917.3239,85701.2991,11216.0248,Bill and account collectors,5100.0,43-3011,,,165020
3710,96900.173,92239.8398,4660.3332,First-line supervisors of police and detectives,3710.0,33-1012,,,153130
2170,96312.9023,88514.1562,7798.7461,"Title examiners, abstractors, and searchers",2170.0,23-2093,,,48170
2810,96290.3187,95369.587,920.7317,"News analysts, reporters, and journalists",2810.0,27-3023,,,41550
5521,94040.5584,88448.2298,5592.3286,Public safety telecommunicators,5521.0,43-5031,,,101140
820,94008.4162,65691.6851,28316.7311,Budget analysts,820.0,13-2031,,,47170
1106,93831.4503,87093.5508,6737.8995,Computer network architects,1106.0,15-1241,,,177010
3945,92586.0454,83323.3659,9262.6795,Transportation security screeners,3945.0,33-9093,,,46340
5250,89656.4941,81545.7316,8110.7625,"Eligibility interviewers, government programs",5250.0,43-4061,,,156260
1400,89282.67009999999,51591.1479,37691.5222,Computer hardware engineers,1400.0,17-2061,,,75710
5330,88292.9413,68297.6438,19995.2975,Loan interviewers and clerks,5330.0,43-4131,,,173100
5540,87170.5149,67746.8948,19423.6201,Postal service clerks,5540.0,43-5051,,,78060
6730,86832.1301,71588.9098,15243.2203,Highway maintenance workers,6730.0,47-4051,,,151750
7905,86545.30889999999,73974.0005,12571.3084,Computer numerically controlled tool operators and programmers,7905.0,51-9160,,,205180
8760,85381.0426,71944.2424,13436.8002,Dental and ophthalmic laboratory technicians and medical appliance technicians,8760.0,51-9080,,,64150
