occ2018,total_lf,native,foreign,2018 Census Title ,2018 Census Code,2018 SOC Code,2018 SOC Title,2018 Census Title
1430,245370.0717,223938.0906,21431.9811,"Industrial engineers, including health and safety ",1430,17-2110,,
3310,237521.5778,211142.061,26379.5168,Dental hygienists,3310,29-1292,,
3323,237480.9257,208550.8164,28930.1093,Radiologic technologists and technicians,3323,29-2034,,
2910,233732.4333,206675.3517,27057.0816,Photographers,2910,27-4021,,
5600,233239.3306,205678.9345,27560.3961,"Production, planning, and expediting clerks",5600,43-5061,,
4140,232470.418,163462.8935,69007.5245,Dishwashers,4140,35-9021,,
3230,226519.7284,201936.9288,24582.7996,Speech-language pathologists,3230,29-1127,,
7220,222014.8156,191151.1261,30863.6895,Heavy vehicle and mobile equipment service technicians and mechanics,7220,49-3040,,
0150,217737.7872,195662.6006,22075.1866,Purchasing managers,0150,11-3061,,
7810,216447.5161,153381.5025,63066.0136,"Butchers and other meat, poultry, and fish processing workers",7810,51-3020,,
3010,211905.5118,153603.8604,58301.6514,Dentists,3010,29-1020,,
0520,210526.4207,190463.0584,20063.3623,"Wholesale and retail buyers, except farm products",0520,13-1022,,
5160,204785.8687,188340.2033,16445.665399999998,Tellers,5160,43-3071,,
0700,202811.0273,176555.3471,26255.6802,Logisticians,0700,13-1081,,
2001,201875.5525,170072.0994,31803.4531,Substance abuse and behavioral disorder counselors,2001,21-1011,,
0725,201440.9887,188637.3849,12803.6038,"Meeting, convention, and event planners",0725,13-1121,,
1105,196209.9381,148304.9871,47904.951,Network and computer systems administrators,1105,15-1244,,
2350,194926.8836,179055.2842,15871.5994,Tutors,2350,25-3041,,
1065,193117.7888,150872.3216,42245.4672,Database administrators and architects,1065,15-124X,,
3630,191986.0877,131920.666,60065.4217,Massage therapists,3630,31-9011,,
3910,189958.1527,151638.7427,38319.41,Private detectives and investigators,3910,33-9021,,
2435,189765.1242,185419.6575,4345.4667,Librarians and media collections specialists,2435,25-4022,,
0300,188167.0414,132240.2614,55926.78,Architectural and engineering managers,0300,11-9041,,
4820,185527.8827,168689.8769,16838.0058,"Securities, commodities, and financial services sales agents",4820,41-3031,,
0600,183747.3682,161312.4385,22434.9297,Cost estimators,0600,13-1051,,
5140,182574.7155,170190.9641,12383.7514,Payroll and timekeeping clerks,5140,43-3051,,
9030,180764.7837,161530.73619999998,19234.0475,Aircraft pilots and flight engineers,9030,53-2010,,
7140,179913.0429,153832.4969,26080.546,Aircraft mechanics and service technicians,7140,49-3011,,
2752,170054.247,149093.8871,20960.3599,Musicians and singers,2752,27-2042,,
5522,169898.7182,146544.1868,23354.5314,"Dispatchers, except police, fire, and ambulance",5522,43-5032,,
5310,165717.2844,158373.054,7344.2304,"Interviewers, except eligibility and loan",5310,43-4111,,
9720,162671.7388,112963.5163,49708.2225,Refuse and recyclable material collectors,9720,53-7081,,
2555,162438.9589,143512.1165,18926.8424,Other educational instruction and library workers,2555,25-90XX,,
9050,160768.4202,148658.95309999998,12109.4671,Flight attendants,9050,53-2031,,
3110,159190.6568,125890.6034,33300.0534,Physician assistants,3110,29-1071,,
4655,158044.0252,128570.1786,29473.8466,"Personal care and service workers, all other",4655,39-9099,,
8810,157815.8259,120097.7834,37718.0425,Painting workers,8810,51-9120,,
3322,157312.1153,154611.7904,2700.3249,Diagnostic medical sonographers,3322,29-2032,,
1320,156378.9647,136738.7077,19640.257,Aerospace engineers,1320,17-2011,,
9150,156008.5796,134112.6125,21895.9671,"Motor vehicle operators, all other",9150,53-3099,,
8300,154962.3118,84940.0483,70022.2635,Laundry and dry-cleaning workers,8300,51-6011,,
2012,153001.5173,136608.2379,16393.2794,Healthcare social workers,2012,21-1022,,
2016,151638.2389,130114.7353,21523.5036,Social and human service assistants,2016,21-1093,,
8620,150990.1286,144854.0722,6136.0564,Water and wastewater treatment plant and system operators,8620,51-8031,,
4800,149879.9996,130400.2112,19479.7884,Advertising sales agents,4800,41-3011,,
3550,149117.1483,142482.987,6634.1613,Other healthcare practitioners and technical occupations,3550,29-9000,,
3030,147992.9265,127217.8466,20775.0799,Dietitians and nutritionists,3030,29-1031,,
1825,147540.6021,125301.4938,22239.1083,Other psychologists,1825,19-303X,,
5300,147024.92200000002,134621.7563,12403.1657,"Hotel, motel, and resort desk clerks",5300,43-4081,,
1220,145235.7661,134749.46050000002,10486.3056,Operations research analysts,1220,15-2031,,
6520,143033.1468,130304.8197,12728.3271,Sheet metal workers,6520,47-2211,,
3401,142747.4631,142747.4631,0.0,Emergency medical technicians,3401,29-2042,,
0860,141905.5721,131669.7101,10235.862,Insurance underwriters,0860,13-2053,,
4750,141451.4617,115877.8198,25573.6419,Parts salespersons,4750,41-2022,,
4622,141424.6473,132616.9426,8807.7047,Recreation workers,4622,39-9032,,
0960,141277.9745,91881.434,49396.5405,Other financial specialists,0960,13-20XX,,
8255,140694.18,125397.9545,15296.2255,Printing press operators,8255,51-5112,,
5260,139338.2648,116201.2573,23137.0075,File clerks,5260,43-4071,,
0940,139240.2765,111583.6611,27656.6154,Tax preparers,0940,13-2082,,
3422,138540.0974,114267.317,24272.7804,Psychiatric technicians,3422,29-2053,,
3545,136314.4192,124839.7763,11474.6429,Miscellaneous health technologists and technicians,3545,29-2090,,
1720,136259.9839,101094.5454,35165.438500000004,Chemists and materials scientists,1720,19-2030,,
3150,136167.9238,130647.3115,5520.6123,Occupational therapists,3150,29-1122,,
2635,135498.95870000002,121983.4927,13515.466,Interior designers,2635,27-1025,,
0060,133912.7612,133356.3059,556.4553,Public relations and fundraising managers,0060,11-2030,,
6220,133367.5361,83112.0856,50255.4505,"Brickmasons, blockmasons, and stonemasons",6220,47-2020,,
4500,133202.0899,109615.0989,23586.991,Barbers,4500,39-5011,,
6330,132869.9246,57570.1033,75299.8213,"Drywall installers, ceiling tile installers, and tapers",6330,47-2080,,
3620,132218.79200000002,122941.0898,9277.7022,Physical therapist assistants and aides,3620,31-2020,,
2025,129848.5426,101045.1964,28803.3462,Other community and social service specialists,2025,21-109X,,
8320,129202.994,73058.88339999999,56144.1106,Sewing machine operators,8320,51-6031,,
7720,128973.1051,89794.9534,39178.1517,"Electrical, electronics, and electromechanical assemblers",7720,51-2020,,
3820,128903.1074,109322.6379,19580.4695,Detectives and criminal investigators,3820,33-3021,,
7420,128894.7522,116692.1635,12202.5887,Telecommunications line installers and repairers,7420,49-9052,,
6660,128813.3122,111873.15,16940.1622,Construction and building inspectors,6660,47-4011,,
7260,127550.1198,105371.8589,22178.2609,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",7260,49-3090,,
3515,127502.2862,127502.2862,0.0,Medical records specialists,3515,29-2072,,
7150,127089.9733,68379.3176,58710.6557,Automotive body and related repairers,7150,49-3021,,
7010,126899.0287,109317.745,17581.2837,"Computer, automated teller, and office machine repairers",7010,49-2011,,
7020,126527.0306,94625.6385,31901.3921,Radio and telecommunications equipment installers and repairers,7020,49-2020,,
7410,124664.5233,119107.2112,5557.3121,Electrical power-line installers and repairers,7410,49-9051,,
5165,124379.5435,106587.3084,17792.235099999998,"Financial clerks, all other",5165,43-3099,,
8610,123283.2937,108325.1452,14958.1485,Stationary engineers and boiler operators,8610,51-8021,,
3402,122002.1414,93210.6654,28791.476,Paramedics,3402,29-2043,,
4400,120641.6465,97330.5851,23311.0614,Gambling services workers,4400,39-3010,,
1350,119636.1873,82240.4288,37395.7585,Chemical engineers,1350,17-2041,,
2920,119196.9951,110367.5155,8829.4796,"Television, video, and film camera operators and editors",2920,27-4030,,
0102,118738.4303,103899.813,14838.6173,Facilities managers,0102,11-3013,,
4522,117276.7286,93479.6353,23797.0933,Skincare specialists,4522,39-5094,,
3220,116442.4216,75091.4054,41351.0162,Respiratory therapists,3220,29-1126,,
7840,116192.9949,85603.2904,30589.7045,Food batchmakers,7840,51-3092,,
3649,115710.0195,71510.3938,44199.6257,Phlebotomists,3649,31-9097,,
2825,114638.367,110312.9835,4325.3835,Public relations specialists,2825,27-3031,,
0101,114396.0907,99447.3241,14948.7666,Administrative services managers,0101,11-3012,,
0340,109961.2221,97588.4026,12372.8195,Lodging managers,0340,11-9081,,
5410,109783.934,94239.7032,15544.2308,Reservation and transportation ticket agents and travel clerks,5410,43-4181,,
3423,108024.3641,90754.5686,17269.7955,Surgical technologists,3423,29-2055,,
2400,105468.318,105468.318,0.0,"Archivists, curators, and museum technicians",2400,25-4010,,
9141,105456.8929,72835.0232,32621.8697,Shuttle drivers and chauffeurs,9141,53-3053,,
4240,104922.1812,91930.1768,12992.0044,Pest control workers,4240,37-2021,,
7855,104750.6696,79864.2105,24886.4591,"Food processing workers, all other",7855,51-3099,,
3424,104664.3559,104385.4243,278.9316,Veterinary technologists and technicians,3424,29-2056,,
4252,104389.311,74380.6645,30008.646500000003,Tree trimmers and pruners,4252,37-3013,,
2905,101683.7061,101683.7061,0.0,"Broadcast, sound, and lighting technicians",2905,27-4010,,
1650,100440.1618,38900.2213,61539.9405,Medical scientists,1650,19-1040,,
9365,100090.7043,87912.2302,12178.4741,Transportation service attendants,9365,53-6030,,
2830,99545.2938,93207.6844,6337.6094,Editors,2830,27-3041,,
5630,99086.3014,73847.8974,25238.404,"Weighers, measurers, checkers, and samplers, recordkeeping",5630,43-5111,,
2861,98071.3432,48135.9638,49935.3794,Interpreters and translators,2861,27-3091,,
5100,96917.3239,85701.2991,11216.0248,Bill and account collectors,5100,43-3011,,
3710,96900.173,92239.8398,4660.3332,First-line supervisors of police and detectives,3710,33-1012,,
2170,96312.9023,88514.1562,7798.7461,"Title examiners, abstractors, and searchers",2170,23-2093,,
2810,96290.3187,95369.587,920.7317,"News analysts, reporters, and journalists",2810,27-3023,,
5521,94040.5584,88448.2298,5592.3286,Public safety telecommunicators,5521,43-5031,,
0820,94008.4162,65691.6851,28316.7311,Budget analysts,0820,13-2031,,
1106,93831.4503,87093.5508,6737.8995,Computer network architects,1106,15-1241,,
3945,92586.0454,83323.3659,9262.6795,Transportation security screeners,3945,33-9093,,
5250,89656.4941,81545.7316,8110.7625,"Eligibility interviewers, government programs",5250,43-4061,,
1400,89282.67009999999,51591.1479,37691.5222,Computer hardware engineers,1400,17-2061,,
5330,88292.9413,68297.6438,19995.2975,Loan interviewers and clerks,5330,43-4131,,
5540,87170.5149,67746.8948,19423.6201,Postal service clerks,5540,43-5051,,
6730,86832.1301,71588.9098,15243.2203,Highway maintenance workers,6730,47-4051,,
7905,86545.30889999999,73974.0005,12571.3084,Computer numerically controlled tool operators and programmers,7905,51-9160,,
8760,85381.0426,71944.2424,13436.8002,Dental and ophthalmic laboratory technicians and medical appliance technicians,8760,51-9080,,
8950,84858.96429999999,47294.034,37564.9303,Helpers--production workers,8950,51-9198,,
5730,84663.7638,75024.0491,9639.7147,Medical secretaries and administrative assistants,5730,43-6013,,
5360,84378.29980000001,77667.5929,6710.7069,"Human resources assistants, except payroll and timekeeping",5360,43-4161,,
2770,84105.2641,84105.2641,0.0,"Entertainers and performers, sports and related workers, all other",2770,27-2099,,
2050,84099.79920000001,84099.79920000001,0.0,"Directors, religious activities and education",2050,21-2021,,
2060,83528.1544,79204.4491,4323.7053,"Religious workers, all other",2060,21-2099,,
4830,82324.10269999999,77911.26849999999,4412.8342,Travel agents,4830,41-3041,,
3725,81600.5463,74766.0889,6834.457399999999,First-line supervisors of security workers,3725,33-1091,,
1450,80912.2475,47910.21,33002.0375,Materials engineers,1450,17-2131,,
9510,80549.9833,74468.425,6081.5583,Crane and tower operators,9510,53-7021,,
4340,80457.8121,65669.4715,14788.3406,Animal trainers,4340,39-2011,,
7950,78348.1207,69020.0713,9328.0494,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",7950,51-4031,,
6240,78201.0588,47142.0565,31059.0023,"Carpet, floor, and tile installers and finishers",6240,47-2040,,
8650,77632.3963,47857.8568,29774.5395,"Crushing, grinding, polishing, mixing, and blending workers",8650,51-9020,,
5350,77486.2026,67491.4226,9994.78,Order clerks,5350,43-4151,,
1920,76466.9754,69825.34479999999,6641.6306,Chemical technicians,1920,19-4031,,
1980,76458.61249999999,75554.6448,903.9677,Occupational health and safety specialists and technicians,1980,19-5010,,
1551,76006.0034,51946.0422,24059.9612,Electrical and electronic engineering technologists and technicians,1551,17-3023,,
3100,75789.0038,60734.462,15054.5418,Surgeons,3100,29-1240,,
5420,75627.9756,65592.1679,10035.8077,"Information and record clerks, all other",5420,43-4199,,
4530,75304.1505,60909.3674,14394.7831,"Baggage porters, bellhops, and concierges",4530,39-6010,,
4540,75271.5973,75271.5973,0.0,Tour and travel guides,4540,39-7010,,
6441,74976.0154,38166.9897,36809.0257,Pipelayers,6441,47-2151,,
2011,74928.5325,70267.5267,4661.0058,"Child, family, and school social workers",2011,21-1021,,
5820,74539.4617,46501.4136,28038.0481,Word processors and typists,5820,43-9022,,
6530,74160.865,68373.8128,5787.0522,Structural iron and steel workers,6530,47-2221,,
0335,74019.5924,61165.6416,12853.9508,Entertainment and recreation managers,0335,11-9070,,
3000,73861.3288,73861.3288,0.0,Chiropractors,3000,29-1011,,
3250,73320.2433,52097.2464,21222.9969,Veterinarians,3250,29-1131,,
1610,72507.20400000001,70999.888,1507.316,Biological scientists,1610,19-1020,,
0726,71756.7352,71329.2083,427.5269,Fundraisers,0726,13-1131,,
9760,71182.9417,60826.3931,10356.5486,Other material moving workers,9760,53-71XX,,
4740,71152.8186,71152.8186,0.0,Counter and rental clerks,4740,41-2021,,
