onet_soc_code,synonyms,tasks
49-9091.00,"Field Service Technician, Service Technician, Slot Technician, Vending Technician","Install, service, adjust, or repair coin, vending, or amusement machines including video games, juke boxes, pinball machines, or slot machines."
39-1013.00,"Casino Shift Manager (CSM), Floor Supervisor, Slot Supervisor, Table Games Supervisor","Directly supervise and coordinate activities of workers in assigned gambling areas. May circulate among tables, observe operations, and ensure that stations and games are covered for each shift. May verify and pay off jackpots. May reset slot machines after payoffs and make repairs or adjustments to slot machines or recommend removal of slot machines for repair. May plan and organize activities and services for guests in hotels/casinos."
15-1231.00,"Network Specialist, Network Technical Analyst, Network Technician, Systems Specialist","Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption."
49-3011.00,"Aircraft Mechanic, Aircraft Technician, Airframe and Powerplant Mechanic (A and P Mechanic), Aviation Mechanic","Diagnose, adjust, repair, or overhaul aircraft engines and assemblies, such as hydraulic and pneumatic systems."
13-1071.00,"HR Coordinator (Human Resources Coordinator), HR Generalist (Human Resources Generalist), Human Resources Specialist (HR Specialist), Recruiter","Recruit, screen, interview, or place individuals within an organization. May perform other activities in multiple human resources areas."
23-2093.00,"Abstractor, Title Examiner, Title Officer, Title Searcher","Search real estate records, examine titles, or summarize pertinent legal or insurance documents or details for a variety of purposes. May compile lists of mortgages, contracts, and other instruments pertaining to titles by searching public and private records for law firms, real estate agencies, or title insurance companies."
27-4032.00,"Editor, Film Editor, News Editor, Video Editor","Edit moving images on film, video, or other media. May work with a producer or director to organize images for final production. May edit or synchronize soundtracks with images."
31-1133.00,"Mental Health Worker (MHW), Psychiatric Aide, Residential Care Tech (Residential Care Technician), Therapeutic Program Worker (TPW)","Assist mentally impaired or emotionally disturbed patients, working under direction of nursing and medical staff. May assist with daily living activities, lead patients in educational and recreational activities, or accompany patients to and from examinations and treatments. May restrain violent patients. Includes psychiatric orderlies."
51-6063.00,"Knitter, Machine Operator, Tufting Operator, Weaver","Set up, operate, or tend machines that knit, loop, weave, or draw in textiles."
15-1299.04,,Evaluate network system security by conducting simulated internal and external cyberattacks using adversary tools and techniques. Attempt to breach and exploit critical systems and gain access to sensitive information to assess system security.
43-3031.00,"Account Clerk, Accounting Assistant, Accounting Clerk, Accounts Payables Clerk","Compute, classify, and record numerical data to keep financial records complete. Perform any combination of routine calculating, posting, and verifying duties to obtain primary financial data for use in maintaining accounting records. May also check the accuracy of figures, calculations, and postings pertaining to business transactions recorded by other workers."
21-1022.00,"Clinical Social Worker, Hospice Social Worker, Medical Social Worker, Social Worker","Provide individuals, families, and groups with the psychosocial support needed to cope with chronic, acute, or terminal illnesses. Services include advising family caregivers. Provide patients with information and counseling, and make referrals for other services. May also provide case and care management or interventions designed to promote health, prevent disease, and address barriers to access to healthcare."
17-2071.00,"Design Engineer, Electrical Design Engineer, Electrical Engineer, Project Engineer","Research, design, develop, test, or supervise the manufacturing and installation of electrical equipment, components, or systems for commercial, industrial, military, or scientific use."
29-1125.00,"Certified Therapeutic Recreation Specialist (CTRS), Recreation Therapist, Recreational Therapist, Rehabilitation Therapist","Plan, direct, or coordinate medically-approved recreation programs for patients in hospitals, nursing homes, or other institutions. Activities include sports, trips, dramatics, social activities, and crafts. May assess a patient condition and recommend appropriate recreational activity."
53-7065.00,"Checker Stocker, Order Filler, Stock Clerk, Stocker","Receive, store, and issue merchandise, materials, equipment, and other items from stockroom, warehouse, or storage yard to fill shelves, racks, tables, or customers' orders. May operate power equipment to fill orders. May mark prices on merchandise and set up sales displays."
11-9039.00,"We're sorry, the requested page could not be found. Please try the following:",
43-5052.00,"City Letter Carrier, Letter Carrier, Mail Carrier, Rural Carrier Associate (RCA)",Sort and deliver mail for the United States Postal Service (USPS). Deliver mail on established route by vehicle or on foot. Includes postal service mail carriers employed by USPS contractors.
17-1012.00,"Golf Course Architect, Land Planner, Landscape Architect, Landscape Planner","Plan and design land areas for projects such as parks and other recreational facilities, airports, highways, hospitals, schools, land subdivisions, and commercial, industrial, and residential sites."
51-8011.00,"Nuclear Control Operator, Nuclear Reactor Operator, Nuclear Station Operator (NSO), Reactor Operator (RO)","Operate or control nuclear reactors. Move control rods, start and stop equipment, monitor and adjust controls, and record data in logs. Implement emergency procedures when needed. May respond to abnormalities, determine cause, and recommend corrective action."
53-3053.00,"Chauffeur, Driver, Shuttle Bus Driver, Shuttle Driver",Drive a motor vehicle to transport passengers on a planned or scheduled basis. May collect a fare. Includes nonemergency medical transporters and hearse drivers.
39-3091.00,"Golf Course Ranger, Recreation Attendant, Ride Operator, Ski Lift Operator","Perform a variety of attending duties at amusement or recreation facility. May schedule use of recreation facilities, maintain and provide equipment to participants of sporting events or recreational pursuits, or operate amusement concessions and rides."
35-2019.00,"We're sorry, the requested page could not be found. Please try the following:",
51-9197.00,"Retread Technician, Tire Builder, Tire Retreader, Tire Technician",Operate machines to build tires.
51-9041.00,"Extruder Operator, Extrusion Operator, Machine Operator, Press Operator","Set up, operate, or tend machines, such as glass-forming machines, plodder machines, and tuber machines, to shape and form products such as glassware, food, rubber, soap, brick, tile, clay, wax, tobacco, or cosmetics."
19-2041.01,"Climate Analyst, Climate and Energy Program Associate, Environmental Policy Analyst, Policy Analyst","Research and analyze policy developments related to climate change. Make climate-related recommendations for actions such as legislation, awareness campaigns, or fundraising approaches."
55-1011.00,"We're sorry, the requested page could not be found. Please try the following:",
11-3021.00,"Information Systems Director (IS Director), Information Systems Manager (IS Manager), Information Technology Director (IT Director), Information Technology Manager (IT Manager)","Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming."
11-3071.04,"Global Supply Chain Director, Material Requirements Planning Manager, Supply Chain Director, Supply Chain Manager","Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory."
19-3039.03,"Clinical Neuropsychologist, Pediatric Clinical Neuropsychologist, Pediatric Neuropsychologist, Staff Psychologist","Assess and diagnose patients with neurobehavioral problems related to acquired or developmental disorders of the nervous system, such as neurodegenerative disorders, traumatic brain injury, seizure disorders, and learning disabilities. Recommend treatment after diagnosis, such as therapy, medication, or surgery. Assist with evaluation before and after neurosurgical procedures, such as deep brain stimulation."
25-1054.00,"Instructor, Physics Instructor, Physics Professor, Professor",Teach courses pertaining to the laws of matter and energy. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
51-6052.00,"Alterations Sewer, Dressmaker, Seamstress, Tailor","Design, make, alter, repair, or fit garments."
47-2044.00,"Tile and Marble Installer, Tile Installer, Tile Mechanic, Tile Setter","Apply hard tile, stone, and comparable materials to walls, floors, ceilings, countertops, and roof decks."
31-9097.00,"Lab Liaison Technician, Mobile Examiner, Phlebotomist, Phlebotomy Technician","Draw blood for tests, transfusions, donations, or research. May explain the procedure to patients and assist in the recovery of patients with adverse reactions."
17-3029.00,"We're sorry, the requested page could not be found. Please try the following:",
45-4029.00,"We're sorry, the requested page could not be found. Please try the following:",
15-2051.01,"Business Intelligence Analyst (BI Analyst), Competitive Intelligence Analyst, Intelligence Analyst, Market Intelligence Consultant",Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.
53-4031.00,"Conductor, Freight Conductor, Railroad Conductor, Yardmaster","Coordinate activities of switch-engine crew within railroad yard, industrial plant, or similar location. Conductors coordinate activities of train crew on passenger or freight trains. Yardmasters review train schedules and switching orders and coordinate activities of workers engaged in railroad traffic operations, such as the makeup or breakup of trains and yard switching."
39-3011.00,"Blackjack Dealer, Casino Dealer, Table Games Dealer, Twenty-One Dealer","Operate table games. Stand or sit behind table and operate games of chance by dispensing the appropriate number of cards or blocks to players, or operating other gambling equipment. Distribute winnings or collect players' money or chips. May compare the house's hand against players' hands."
25-1112.00,"Associate Professor, Instructor, Law Professor, Professor",Teach courses in law. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
53-7063.00,"Dryer Feeder, Feeder, Machine Feeder, Offbearer",Feed materials into or remove materials from machines or equipment that is automatic or tended by other workers.
39-1022.00,"Aquatics Supervisor, Clinical Care Coordinator, Direct Care Supervisor, Resident Care Supervisor",Supervise and coordinate activities of personal service workers.
19-3039.02,"Board Certified Neuropsychologist, Neuropsychologist, Pediatric Neuropsychologist, Staff Psychologist","Apply theories and principles of neuropsychology to evaluate and diagnose disorders of higher cerebral functioning, often in research and medical settings. Study the human brain and the effect of physiological states on human cognition and behavior. May formulate and administer programs of treatment."
49-9041.00,"Industrial Machinery Mechanic, Maintenance Technician, Mechanic, Overhauler","Repair, install, adjust, or maintain industrial production and processing machinery or refinery and pipeline distribution systems. May also install, dismantle, or move machinery and heavy equipment according to plans."
13-1199.06,Online Services Manager,"Conduct retail activities of businesses operating exclusively online. May perform duties such as preparing business strategies, buying merchandise, managing inventory, implementing marketing activities, fulfilling and shipping online orders, and balancing financial records."
51-1011.00,"Assembly Supervisor, Manufacturing Supervisor, Production Manager, Production Supervisor","Directly supervise and coordinate the activities of production and operating workers, such as inspectors, precision workers, machine setters and operators, assemblers, fabricators, and plant and system operators. Excludes team or work leaders."
13-2061.00,"Bank Examiner, Bank Secrecy Act Anti-Money Laundering Officer (BSA/AML Officer), Credit Union Examiner, Examining Officer","Enforce or ensure compliance with laws and regulations governing financial and securities institutions and financial and real estate transactions. May examine, verify, or authenticate records."
39-7011.00,"Docent, Historical Interpreter, Museum Guide, Tour Guide","Escort individuals or groups on sightseeing tours or through places of interest, such as industrial establishments, public buildings, and art galleries."
43-5031.00,"Communications Officer, Communications Operator, Public Safety Dispatcher, Telecommunicator","Operate telephone, radio, or other communication systems to receive and communicate requests for emergency assistance at 9-1-1 public safety answering points and emergency operations centers. Take information from the public and other sources regarding crimes, threats, disturbances, acts of terrorism, fires, medical emergencies, and other public safety matters. May coordinate and provide information to law enforcement and emergency response personnel. May access sensitive databases and other information sources as needed. May provide additional instructions to callers based on knowledge of and certification in law enforcement, fire, or emergency medical procedures."
29-2042.00,"Emergency Medical Technician (EMT), First Responder",Assess injuries and illnesses and administer basic emergency medical care. May transport injured or sick persons to medical facilities.
51-8012.00,"Power System Dispatcher, Power System Operator, Systems Operator, Transmission System Operator (TSO)","Coordinate, regulate, or distribute electricity or steam."
51-4072.00,"Machine Operator, Molder, Process Technician, Production Technician","Set up, operate, or tend metal or plastic molding, casting, or coremaking machines to mold or cast metal or thermoplastic parts or products."
17-2199.06,"Process Engineer, Product Design Engineer, Project Engineer, Radio Frequency Design Engineer (RF Design Engineer)","Research, design, develop, or test microelectromechanical systems (MEMS) devices."
21-1029.00,"We're sorry, the requested page could not be found. Please try the following:",
25-1069.00,"We're sorry, the requested page could not be found. Please try the following:",
51-8031.00,"Process Operator (Process Op), Wastewater Operator (WW Operator), Water Plant Operator, Water Treatment Plant Operator","Operate or control an entire process or system of machines, often through the use of control boards, to transfer or treat water or wastewater."
37-1011.00,"Environmental Services Supervisor (EVS), Executive Housekeeper, Housekeeping Supervisor, Maintenance Supervisor","Directly supervise and coordinate work activities of cleaning personnel in hotels, hospitals, offices, and other establishments."
51-9195.03,"Carver, Sandblaster, Stone Carver, Stone Cutter",Cut or carve stone according to diagrams and patterns.
45-2011.00,"Brand Inspector, Consumer Safety Inspector (CSI), Grain Inspector, Inspector","Inspect agricultural commodities, processing equipment, and facilities, and fish and logging operations, to ensure compliance with regulations and laws governing health, quality, and safety."
29-1023.00,"Orthodontic Dentist, Orthodontic Specialist, Orthodontics Doctor, Orthodontist","Examine, diagnose, and treat dental malocclusions and oral cavity anomalies. Design and fabricate appliances to realign teeth and jaws to produce and maintain normal function and to improve appearance."
27-4014.00,"Audio Engineer, Mixer, Recording Engineer, Sound Engineer","Assemble and operate equipment to record, synchronize, mix, edit, or reproduce sound, including music, voices, or sound effects, for theater, video, film, television, podcasts, sporting events, and other productions."
21-1091.00,"Clinical Instructor, Health Education Specialist, Health Educator, Public Health Educator","Provide and manage health education programs that help individuals, families, and their communities maximize and maintain healthy lifestyles. Use data to identify community needs prior to planning, implementing, monitoring, and evaluating programs designed to encourage healthy lifestyles, policies, and environments. May link health systems, health providers, insurers, and patients to address individual and population health needs. May serve as resource to assist individuals, other health professionals, or the community, and may administer fiscal resources for health education programs."
51-6061.00,"Dye Machine Operator, Dye Operator, Dyer, Machine Operator (Machine Op)","Operate or tend machines to bleach, shrink, wash, dye, or finish textiles or synthetic or glass fibers."
29-2035.00,"MRI Coordinator (Magnetic Resonance Imaging Coordinator), MRI QA Coordinator (Magnetic Resonance Imaging Quality Assurance Coordinator), MRI Tech (Magnetic Resonance Imaging Technician), MRI Technologist (Magnetic Resonance Imaging Technologist)","Operate Magnetic Resonance Imaging (MRI) scanners. Monitor patient safety and comfort, and view images of area being scanned to ensure quality of pictures. May administer gadolinium contrast dosage intravenously. May interview patient, explain MRI procedures, and position patient on examining table. May enter into the computer data such as patient history, anatomical area to be scanned, orientation specified, and position of entry."
55-3018.00,"We're sorry, the requested page could not be found. Please try the following:",
51-9022.00,"Chipper, Finisher, Grinder, Polisher","Grind, sand, or polish, using hand tools or hand-held power tools, a variety of metal, wood, stone, clay, plastic, or glass objects. Includes chippers, buffers, and finishers."
27-2091.00,,"Play prerecorded music for live audiences at venues or events such as clubs, parties, or wedding receptions. May use techniques such as mixing, cutting, or sampling to manipulate recordings. May also perform as emcee (master of ceremonies)."
31-9096.00,"Animal Care Provider, Animal Caregiver, Certified Veterinary Assistant, Veterinarian Assistant (Vet Assistant)","Feed, water, and examine pets and other nonfarm animals for signs of illness, disease, or injury in laboratories and animal hospitals and clinics. Clean and disinfect cages and work areas, and sterilize laboratory and surgical equipment. May provide routine postoperative care, administer medication orally or topically, or prepare samples for laboratory examination under the supervision of veterinary or laboratory animal technologists or technicians, veterinarians, or scientists."
39-5092.00,"Manicurist, Nail Technician (Nail Tech), Pedicurist",Clean and shape customers' fingernails and toenails. May polish or decorate nails.
15-1212.00,"Information Security Officer, Information Systems Security Officer (ISSO), Information Technology Security Analyst (IT Security Analyst), Network Security Analyst","Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses."
33-3012.00,"Correctional Officer, Corrections Officer (CO), Detention Officer, Jailer","Guard inmates in penal or rehabilitative institutions in accordance with established regulations and procedures. May guard prisoners in transit between jail, courtroom, prison, or other point. Includes deputy sheriffs and police who spend the majority of their time guarding prisoners in correctional institutions."
39-9099.00,"We're sorry, the requested page could not be found. Please try the following:",
13-2053.00,"Account Underwriter, Life Underwriter, Personal Lines Underwriter, Underwriter",Review individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications.
29-9021.00,"Medical Records Analyst, Medical Records Director","Apply knowledge of healthcare and information systems to assist in the design, development, and continued modification and analysis of computerized healthcare systems. Abstract, collect, and analyze treatment and followup information of patients. May educate staff and assist in problem solving to promote the implementation of the healthcare information system. May design, develop, test, and implement databases with complete history, diagnosis, treatment, and health status to help monitor diseases."
29-1131.00,"Doctor of Veterinary Medicine (DVM), Emergency Veterinarian (Emergency Vet), Small Animal Veterinarian (Small Animal Vet), Veterinary Medicine Doctor (DVM)","Diagnose, treat, or research diseases and injuries of animals. Includes veterinarians who conduct research and development, inspect livestock, or care for pets and companion animals."
25-1065.00,"Associate Professor, Political Science Instructor, Political Science Professor, Professor","Teach courses in political science, international affairs, and international relations. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
49-9094.00,"Certified Master Locksmith (CML), Lock Technician, Locksmith, Safe Technician","Repair and open locks, make keys, change locks and safe combinations, and install and repair safes."
51-4051.00,"Central Melt Specialist, Furnace Operator, Melter, Vacuum Melter","Operate or tend furnaces, such as gas, oil, coal, electric-arc or electric induction, open-hearth, or oxygen furnaces, to melt and refine metal before casting or to produce specified types of steel."
51-6041.00,"Boot Maker, Cobbler, Shoe Maker, Shoe Repairer","Construct, decorate, or repair leather and leather-like products, such as luggage, shoes, and saddles. May use hand tools."
49-2022.00,"Central Office Technician, Install and Repair Technician, Service Technician, Telecommunications Technician","Install, set up, rearrange, or remove switching, distribution, routing, and dialing equipment used in central offices or headends. Service or repair telephone, cable television, Internet, and other communications equipment on customers' property. May install communications equipment or communications wiring in buildings."
45-4023.00,"Log Buyer, Log Grader, Log Scaler, Scaler","Grade logs or estimate the marketable content or value of logs or pulpwood in sorting yards, millpond, log deck, or similar locations. Inspect logs for defects or measure logs to determine volume."
19-2032.00,"Materials Research Engineer, Materials Scientist, Research Scientist, Scientist","Research and study the structures and chemical properties of various natural and synthetic or composite materials, including metals, alloys, rubber, ceramics, semiconductors, polymers, and glass. Determine ways to strengthen or combine materials or develop new materials with new or specific properties for use in a variety of products and applications. Includes glass scientists, ceramic scientists, metallurgical scientists, and polymer scientists."
55-1012.00,"We're sorry, the requested page could not be found. Please try the following:",
47-2142.00,"Bill Poster, Paper Hanger, Paperhanger, Wallpaper Hanger","Cover interior walls or ceilings of rooms with decorative wallpaper or fabric, or attach advertising posters on surfaces such as walls and billboards. May remove old materials or prepare surfaces to be papered."
29-1291.00,"Acupuncture Physician, Acupuncturist, Herbalist, Licensed Acupuncturist (LAC)","Diagnose, treat, and prevent disorders by stimulating specific acupuncture points within the body using acupuncture needles. May also use cups, nutritional supplements, therapeutic massage, acupressure, and other alternative health therapies."
21-2099.00,"We're sorry, the requested page could not be found. Please try the following:",
51-6042.00,"Boot Maker, Inseamer, Side Laster, Stitcher","Operate or tend a variety of machines to join, decorate, reinforce, or finish shoes and shoe parts."
29-1229.01,"Allergist, Immunologist, MD (Medical Doctor), Physician","Diagnose, treat, and help prevent allergic diseases and disease processes affecting the immune system."
29-9091.00,"Athletic Instructor, Athletic Trainer, Certified Athletic Trainer, Personal Trainer","Evaluate and treat musculoskeletal injuries or illnesses. Provide preventive, therapeutic, emergency, and rehabilitative care."
55-3014.00,"We're sorry, the requested page could not be found. Please try the following:",
51-7099.00,"We're sorry, the requested page could not be found. Please try the following:",
33-3011.00,"Bailiff, Court Bailiff, Court Officer, Court Security Officer",Maintain order in courts of law.
29-1081.00,"Doctor of Podiatric Medicine (DPM), Doctor Podiatric Medicine (DPM), Podiatric Surgeon, Podiatrist",Diagnose and treat diseases and deformities of the human foot.
13-1074.00,"Farm Labor Contractor, Field Manager, Field Supervisor","Recruit and hire seasonal or temporary agricultural laborers. May transport, house, and provide meals for workers."
53-7061.00,"Automotive Detailer (Auto Detailer), Car Washer, Detailer, Reconditioner","Wash or otherwise clean vehicles, machinery, and other equipment. Use such materials as water, cleaning agents, brushes, cloths, and hoses."
